PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Permeability,Analysis Comment,Compound QC
432,161004099,70789399,C1=CC=C(C=C1)C2=NC=CC(=C2)C(=O)NC3=CC=C(C=C3)S(=O)(=O)NC4=NC=CS4,Inactive,,,,Low,1,class = 1,QC'ed NCATS
433,161004106,70789478,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=CN=C2)C(=O)NC3=CC=C(C=C3)C4=NNN=N4,Inactive,,,,Low,1.4,class = 1,QC'ed NCATS
434,160844094,70701364,COC1=CC=CC(=C1O)CNC2=CC=C(C=C2)S(=O)(=O)NC3=CC=C(C=C3)N4CCNCC4,Active,,,,High,>1000,class = 0,QC'ed NCATS
435,160844095,70701408,C1CN(CCN1)C2=CC=C(C=C2)N[S+](=O)(C3=CC=C(C=C3)NCC4=C(C(=CC=C4)Cl)O)[O-],Inactive,,,,Low,7.65,class = 1,QC'ed NCATS
436,160844096,70701402,C1CN(CCN1)C2=CC=C(C=C2)N[S+](=O)(C3=CC=C(C=C3)NCC4=C(C=C(C=C4)Br)O)[O-],Inactive,,,,Low,7.93,class = 1,QC'ed NCATS
437,160844097,70701431,C1CN(CCN1)C2=CC=C(C=C2)N[S+](=O)(C3=CC=C(C=C3)NCC4=C(C=C(C=C4)Cl)O)[O-],Inactive,,,,Low,6.78,class = 1,QC'ed NCATS
438,161004108,1292054,C1=CC=C2C(=C1)C=CC=C2C(=O)NC3=CC=C(C=C3)S(=O)(=O)NC4=NC=CS4,Active,,,,Moderate,11.9,class = 1,QC'ed NCATS
439,161004109,2147590,C1=CC=C2C=C(C=CC2=C1)C(=O)NC3=CC=C(C=C3)S(=O)(=O)NC4=NC=CS4,Inactive,,,,Low,4.69,class = 1,QC'ed NCATS
440,161004110,1548400,C1=CC=C(C=C1)CC(=O)NC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3,Inactive,,,,Low,1.67,class = 1,QC'ed NCATS
441,161004111,1115153,C1=CC=C(C=C1)CCC(=O)NC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3,Inactive,,,,Low,9.34,class = 1,QC'ed NCATS
442,161004112,70789400,C1=CC=C2C=C(C=CC2=C1)CC(=O)NC3=CC=C(C=C3)S(=O)(=O)NC4=NC=CS4,Active,,,,Moderate,16.9,class = 1,QC'ed NCATS
443,161004113,70789441,C1=CC(=CC=C1C#N)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)CC3=CC(=C(C=C3)F)Cl,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
444,161004114,1106557,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)NC3=CC=C(C=C3)S(=O)(=O)NC4=NC=CS4,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
445,161004115,1582687,C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)NC4=CC=C(C=C4)S(=O)(=O)NC5=NC=CS5,Inactive,,,,Low,6.3,class = 1,QC'ed NCATS
446,161004116,70789430,C1=CC(=CC=C1NC(=O)C2=CC=NN2)[S+](=O)(NC3=NC=CS3)[O-],Inactive,,,,Low,1,class = 1,QC'ed NCATS
447,161004117,70789466,C1=CC(=CC=C1NC(=O)C2=NC=NN2)[S+](=O)(NC3=NC=CS3)[O-],Inactive,,,,Low,1,class = 1,QC'ed NCATS
448,161004125,70789419,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=CN=C2)C(=O)NC3=NC(=CS3)C(=O)O,Inactive,,,,Low,1,class = 1,QC'ed NCATS
449,160844099,70701410,C1CNCCC1C2=CC=C(C=C2)N[S+](=O)(C3=CC=C(C=C3)NCC4=C(C=C(C=C4)Br)O)[O-],Inactive,,,,Low,6.3,class = 1,QC'ed NCATS
450,160844101,70701420,C1CNCCC1C2=CC=C(C=C2)N[S+](=O)(C3=CC=C(C=C3)NCC4=C(C=C(C=C4)Cl)O)[O-],Inactive,,,,Low,2.21,class = 1,QC'ed NCATS
451,174006346,52912189,CC1=C(C(=NO1)C)C2=C(C=C3C(=C2)N=CC4=C3N(C(=O)N4)[C@H](C)C5=CC=CC=N5)OC,Active,,,,High,857.76,class = 0,QC'ed NCATS
452,174006365,57339144,C1CCN(C1)C2CCN(CC2)C(=O)C3=CC(=C(C=C3)C(=O)N4CCC(CC4)N5CCCC5)NC6=CC=CC=C6,Inactive,,,,Low,7.61,class = 1,QC'ed NCATS
453,170466906,72187536,CC1=CC=CC=C1C(=O)N2CCC3=C2C=CC(=C3)C4=C(SC(=N4)NC(=O)CC5=CC6=CC=CC=C6C=C5)C,Inactive,,,,Low,1,class = 1,QC'ed NCATS
454,170466909,1450448,CC1=CC=CC=C1C(=O)N2CCC3=C2C=CC(=C3)C4=C(SC(=N4)NC(=O)C5=CC6=C(C=C5)OCO6)C,Active,,,,High,568.99,class = 0,QC'ed NCATS
455,164755742,71771109,CC1=CC(=C(N1)C(=O)NC2=CC(=C(C=C2)OC)[S+](=O)(NC3=CC=C(C=C3)Br)[O-])C,Active,,,,High,>1000,class = 0,QC'ed NCATS
456,164755750,71771097,CC1=C(C(=CC=C1)C)C(=O)NC2=CC(=C(C=C2)OC)[S+](=O)(N(C)C)[O-],Active,,,,High,196.25,class = 0,QC'ed NCATS
457,363677342,24944925,CC(C)(C)C1=CC=C(C=C1)C(=O)NC2=CN3C=C(C=CC3=N2)N4C=CN=C4,Active,,,,High,952,class = 0,QC'ed NCATS
458,170466910,24243268,C1=COC(=C1)C(=O)NC2=NC=C(S2)CC3=CC=C(C=C3)C(F)(F)F,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
459,161004126,70789411,CC(=O)NC1=NC=C(S1)S(=O)(=O)NC2=C(C=CN=C2)C(=O)NC3=NC(=CS3)C4=CC=CC=C4,Active,,,,Moderate,21.37,class = 1,QC'ed NCATS
460,170466911,72187561,C1=CC=C(C=C1)CC2=CN=C(S2)NC(=O)C3=CC=C(O3)C4=CC(=CC=C4)[N+](=O)[O-],Inconclusive,,,,N/F,N/F,,QC'ed NCATS
461,161004127,70789446,CC1=C(C(=NO1)C)S(=O)(=O)NC2=C(C=CN=C2)C(=O)NC3=NC(=CS3)C4=CC=CC=C4,Active,,,,High,339.35,class = 0,QC'ed NCATS
462,161004128,70789370,C1CC2=C(C=CC(=C2)S(=O)(=O)NC3=C(C=CN=C3)C(=O)NC4=NC(=CS4)C5=CC=CC=C5)NC(=O)C1,Inactive,,,,Low,1.7,class = 1,QC'ed NCATS
463,170363365,72183104,C1=CC=C(C(=C1)C2=CC=C(O2)C(=O)NC3=NC=C(S3)CC4=CC=C(C=C4)C(F)(F)F)[N+](=O)[O-],Inconclusive,,,,N/F,N/F,,QC'ed NCATS
464,170363366,72183102,C1=CC=C(C=C1)C2=CC=C(O2)C(=O)NC3=NC=C(S3)CC4=CC=C(C=C4)C(F)(F)F,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
465,170363367,1298953,C1=CC(=CC(=C1)C(F)(F)F)CC2=CN=C(S2)NC(=O)C3=CC=C(O3)C4=CC(=CC=C4)[N+](=O)[O-],Inconclusive,,,,N/F,N/F,,QC'ed NCATS
466,170363369,72183107,C1=CC(=CC=C1CC2=CN=C(S2)NC(=O)C3=CC=C(O3)C4=CC=C(C=C4)[N+](=O)[O-])C(F)(F)F,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
467,161004131,70789460,C1=CC=C(C=C1)C2=CSC(=N2)NS(=O)(=O)C3=CC=C(C=C3)NC(=O)C4=CC5=CC=CC=C5C=C4,Inactive,,,,Low,1,class = 1,QC'ed NCATS
468,161004132,70789524,C1=CC=C(C=C1)C2=CN=C(S2)NS(=O)(=O)C3=CC=C(C=C3)NC(=O)C4=CC5=CC=CC=C5C=C4,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
469,161004142,70789510,CN1C=C(N=C1)S(=O)(=O)NC2=C(C=CN=C2)C(=O)NC3=NC(=CS3)C4=CC=CC=C4,Inactive,,,,Low,1.1,class = 1,QC'ed NCATS
470,161004145,70789412,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC=C(C=C4)C#N,Active,,,,High,278.54,class = 0,QC'ed NCATS
471,161004147,2132664,C1=CC=C2C=C(C=CC2=C1)S(=O)(=O)NC3=CC=C(C=C3)S(=O)(=O)NC4=NC=CS4,Inactive,,,,Low,7.37,class = 1,QC'ed NCATS
472,160844109,70701434,COC1=CC=CC(=C1O)CNC2=CC=C(C=C2)S(=O)(=O)NC3=NC=C(S3)C4=CC=CC=C4,Active,,,,Moderate,36.59,class = 1,QC'ed NCATS
473,160844112,70701432,COC1=CC=CC(=C1O)CNC2=CC=C(C=C2)S(=O)(=O)NC3=NC4=CC=CC=C4O3,Active,,,,High,105.79,class = 0,QC'ed NCATS
474,170363372,72183101,C1=CC(=CN=C1)C2=CC=C(O2)C(=O)NC3=NC=C(S3)CC4=CC=C(C=C4)C(F)(F)F,Active,,,,High,984.35,class = 0,QC'ed NCATS
475,170466915,72187537,CC1=CC=CC=C1C(=O)N2C=CC3=C2C=CC(=C3)C4=C(SC(=N4)NC(=O)CC5=CC6=C(C=C5)OCO6)C,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
476,174316137,25109986,CNC1CCC(CC1)N(CC2=CC(=C(C=C2)OC)C3=CC=C(C=C3)C#N)C(=O)C4=C(C5=CC=CC=C5S4)Cl,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
477,174007010,11248978,C1CN2C=C(C3=CC=CC(=C32)CN1C(=O)N4CCOCC4)C5=C(C(=O)NC5=O)C6=CN=C7N6C=CC=C7,Active,,,,Moderate,82.94,class = 1,QC'ed NCATS
478,161004446,70789667,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=C(C=C3)[N+](=O)[O-])NC4=CC(=C(C=C4)F)F,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
479,161004448,70789658,COC1=NC=C(C(=C1)C2=NC3=CC=CC=C3C(=N2)NC4=CC(=C(C=C4)F)F)F,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
480,161004449,70789679,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC(=O)NC=C3)NC4=CC(=C(C=C4)F)F,Active,,,,High,395.63,class = 0,QC'ed NCATS
481,161004450,70789651,COC1=CC(=CC(=N1)OC)C2=NC3=CC=CC=C3C(=N2)NC4=CC(=C(C=C4)F)F,Active,,,,Moderate,26.5,class = 1,QC'ed NCATS
482,161004157,70789359,CC1=CC=C(C=C1)CNC2=CC=CC=C2C(=O)NC3=NC(=CS3)C4=CC=CC=C4,Active,,,,Moderate,26.4,class = 1,QC'ed NCATS
483,161004451,70789664,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC(=NC=C3)C#N)NC4=CC(=C(C=C4)F)F,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
484,161004452,70789672,COC1=NC=CC(=C1)C2=NC3=CC=CC=C3C(=N2)NC4=CC(=C(C=C4)F)F,Active,,,,Moderate,22.5,class = 1,QC'ed NCATS
485,161004454,70789674,COC1=NC=CC(=C1Cl)C2=NC3=CC=CC=C3C(=N2)NC4=CC(=C(C=C4)F)F,Active,,,,Moderate,30.3,class = 1,QC'ed NCATS
486,161004455,70789652,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC(=NC=C3)C(F)(F)F)NC4=CC(=C(C=C4)F)F,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
487,161004457,70789675,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC(=NC=C3)F)NC4=CC(=C(C=C4)F)F,Active,,,,High,116.47,class = 0,QC'ed NCATS
488,161004463,70789700,CC1=CC(=CC(=N1)C)C2=NC3=CC=CC=C3C(=N2)NC4=CC(=C(C=C4)F)F,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
489,161004464,70789693,COC1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=N2)NC4=CC(=C(C=C4)F)F,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
490,161004166,70789481,CC1=CC=C(C=C1)[S+](=O)(N2C=C(C3=CC=CC=C32)C4=CC=C(C=C4)C5=CC=CC=C5)[O-],Inconclusive,,,,N/F,N/F,,QC'ed NCATS
491,161004168,70789345,C1=CC(=CC=C1C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC=C(C=C4)F)F,Active,,,,High,754.92,class = 0,QC'ed NCATS
492,161004171,70789522,C1=CC=C(C(=C1)S(=O)(=O)NC2=C(C=CN=C2)C(=O)NC3=NC(=CS3)C4=CC=C(C=C4)F)Cl,Active,,,,High,>1000,class = 0,QC'ed NCATS
493,161004467,70789644,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=CC(=C(C=C4)C5=CC=CC=C5F)F,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
494,161004474,70789690,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=CC(=C(C=C4)C5=CC(=CC=C5)OC(F)(F)F)F,Active,,,,Moderate,23.5,class = 1,QC'ed NCATS
495,161004475,70789695,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=CC(=C(C=C4)C5=CC=C(C=C5)F)F,Active,,,,Moderate,93.58,class = 1,QC'ed NCATS
496,161004476,70789663,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=CC(=C(C=C4)C5=CC(=CC=C5)C(F)(F)F)F,Active,,,,Moderate,16.8,class = 1,QC'ed NCATS
497,161004484,70789682,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=CC(=C(C=C4)C5=CC6=C(C=C5)NN=C6)F,Active,,,,Moderate,42,class = 1,QC'ed NCATS
498,161004485,70789655,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=CC(=C(C=C4)C5=CC(=CC=C5)F)F,Active,,,,Moderate,49.03,class = 1,QC'ed NCATS
499,161004487,70789694,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=CC(=C(C=C4)C5=CC(=C(C(=C5)F)F)F)F,Active,,,,Moderate,21.1,class = 1,QC'ed NCATS
500,161004492,70789666,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=CC(=C(C=C4)C5=CC(=CC=C5)OC(F)F)F,Active,,,,Moderate,30.1,class = 1,QC'ed NCATS
501,161004494,70789698,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=CC(=C(C=C4)OC(F)(F)F)F,Active,,,,High,551.7,class = 0,QC'ed NCATS
502,161004496,70789653,C1CN(CCN1)C2=C(C=C(C=C2)NC3=NC(=NC4=CC=CC=C43)C5=CC=NC=C5)F,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
503,170466919,72187559,C1=CC=C(C=C1)C2=CC(=CC=C2)C(=O)NC3=NC=C(S3)CC4=CC=C(C=C4)C(F)(F)F,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
504,164755764,26951683,CC(=O)NC1=CC(=C(C=C1)OC)S(=O)(=O)NC2=CC=C(C=C2)Br,Active,,,,High,626.69,class = 0,QC'ed NCATS
505,164755766,46663817,CC1=C(NC(=C1C(=O)C)C)C(=O)N(C)C,Active,,,,Moderate,57.38,class = 1,QC'ed NCATS
506,164755768,71771102,CC1=C(NC(=C1C(=O)C)C)C(=O)NC2=CC(=CC=C2)[S+](=O)(NC3=CC=CC=N3)[O-],Active,,,,Moderate,11.59,class = 1,QC'ed NCATS
507,164755769,71771081,CC1=C(NC(=C1C(=O)C)C)C(=O)NC2=CC(=CC=C2)[S+](=O)(NC3=CC=NC=C3)[O-],Inactive,,,,Low,1.51,class = 1,QC'ed NCATS
508,164755773,71771087,CC1=C(C(=NC=C1)C)C(=O)NC2=CC(=CC=C2)[S+](=O)(N(C)C)[O-],Active,,,,Moderate,98.53,class = 1,QC'ed NCATS
509,164755775,71771093,CC1=C(NC(=C1C(=O)C)C)C(=O)NC2=CC(=CC=C2)[S+](=O)(NC3=CC=C(C=C3)C#N)[O-],Active,,,,High,178.29,class = 0,QC'ed NCATS
510,164755776,71771076,CC1=C(NC(=C1C(=O)C)C)C(=O)NC2=CC(=CC=C2)[S+](=O)(NC3=CC=C(C=C3)NC(=O)C)[O-],Active,,,,Moderate,20.62,class = 1,QC'ed NCATS
511,164755777,71771067,CCC1=C(C=C(C=C1)NC(=O)C2=C(C(=C(N2)C)C(=O)C)C)[S+](=O)(NC3=CC=CC=C3C#N)[O-],Active,,,,Moderate,74.24,class = 1,QC'ed NCATS
512,170466922,72187541,C1=CC=C(C=C1)C2=CN=C(S2)NC(=O)C3=CC=C(O3)C4=CC(=CC=C4)[N+](=O)[O-],Inconclusive,,,,N/F,N/F,,QC'ed NCATS
513,170466923,72187538,C1=CC=C(C=C1)C2=NC=C(O2)C(=O)NC3=NC=C(S3)CC4=CC=C(C=C4)C(F)(F)F,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
514,174006982,49846579,CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NCC6CCOCC6)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C,Inactive,,,,Low,1.5,class = 1,QC'ed NCATS
515,174006726,10430360,C1CCN(CC1)CCOC2=CC=CC(=C2)C3=NNC4=C3C=C(C=C4)C5=NC=NN5,Inactive,,,,Low,1,class = 1,QC'ed NCATS
516,174006690,44205240,CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,Active,,,,Moderate,11.08,class = 1,QC'ed NCATS
517,170466925,72187548,C1=CC=C(C=C1)C2=NC=C(S2)C(=O)NC3=NC=C(S3)CC4=CC=C(C=C4)C(F)(F)F,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
518,174006384,25161177,C[C@H](C1=NC=C(S1)C(=O)NC2=NC=C(C(=C2)C(F)(F)F)Cl)NC(=O)C3=C(C(=NC=N3)N)Cl,Active,,,,High,>1000,class = 0,QC'ed NCATS
519,174007076,73265337,CC[C@@H](C(=O)N1C[C@H](C[C@@H]1CC2=C(NC3=C2C=CC(=C3)F)C4=C(C5=C(N4)C=C(C=C5)F)C[C@@H]6C[C@@H](CN6C(=O)[C@H](CC)NC(=O)[C@H](C)NC)O)O)NC(=O)[C@H](C)NC,Inactive,,,,Low,1,class = 1,QC'ed NCATS
520,174006481,135398495,C1CC1NC(=O)NC2=C(NN=C2)C3=NC4=C(N3)C=C(C=C4)CN5CCOCC5,Inactive,,,,Low,5.07,class = 1,QC'ed NCATS
521,174007337,50515,CN(C)CCN1C(=O)C2=CC=CC3=CC(=CC(=C32)C1=O)N,Active,,,,High,339.31,class = 0,QC'ed NCATS
522,174006878,73265297,CC[C@@H]1CC[C@H]2[C@@H]([C@H]([C@@H]([C@]3(O2)CC[C@@H]([C@@H](O3)C[C@@H](C)O)C)C)OC(=O)C=C[C@@H]([C@H]([C@@H](C(=O)[C@@H]([C@H]([C@@H](C(=O)[C@]([C@H]([C@@H](CC=CC=C1)C)O)(C)O)C)O)C)C)O)C)C,Inactive,,,,Low,1,class = 1,QC'ed NCATS
523,174006488,6852167,CC1=C(SC(=N1)NC(=O)C)C2=CC(=C(C=C2)Cl)S(=O)(=O)NCCO,Active,,,,Moderate,12.1,class = 1,QC'ed NCATS
524,174006598,9549295,CCCNC(=O)NC1=C(C=C(C=C1)OC2=NC=NC3=CC(=C(C=C32)OC)OC)Cl,Active,,,,High,362.35,class = 0,QC'ed NCATS
525,174006525,11175137,C1CNCCC1(C2=CC=C(C=C2)C3=CNN=C3)C4=CC=C(C=C4)Cl,Active,,,,Moderate,40.47,class = 1,QC'ed NCATS
526,174007030,16718576,CC1(CC2=CN=C(N=C2C3=C1C(=NN3C)C(=O)NC)NC4=CC=C(C=C4)N5CCN(CC5)C)C,Active,,,,High,>1000,class = 0,QC'ed NCATS
527,174006504,11978790,CN1C2=CN=C3C=CC(=CC3=C2N(C1=O)C4=CC(=C(C=C4)N5CCNCC5)C(F)(F)F)C6=CN=C(C=C6)OC,Inactive,,,,Low,1,class = 1,QC'ed NCATS
528,174006463,54575456,CN(CC1=CC2=C(S1)C(=NC(=N2)C3=CN=C(C=C3)OC)N4CCOCC4)C5=NC=C(C=N5)C(=O)NO,Active,,,,High,495.65,class = 0,QC'ed NCATS
529,170466928,72187542,C1=CC(=CC(=C1)[N+](=O)[O-])C2=CC=C(O2)C(=O)NC3=NC4=C(S3)C=CC(=C4)C(F)(F)F,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
530,174006587,5311510,C1=CC(=CC(=C1)C(=O)N)C2=CC(=NC=N2)NC3=CC=C(C=C3)OC(F)(F)F,Active,,,,High,578.6,class = 0,QC'ed NCATS
531,174006424,9934347,CNC(=O)C1=CC=CC=C1NC2=NC(=NC=C2Cl)NC3=C(C=C(C=C3)N4CCOCC4)OC,Active,,,,High,>1000,class = 0,QC'ed NCATS
532,174006458,10200390,COC1=C(C=C(C=C1)C2=CC3=NC=CN3C(=N2)NC4=C(C=CC=N4)C(=O)N)OC,Active,,,,Moderate,26.42,class = 1,QC'ed NCATS
533,174006397,71550931,CCC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)CN3CCN(CC3)C)C#CC4=CN5C(=CC=N5)N=C4,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
534,170466932,72187547,C1=CC=C(C=C1)C2=NC=C(N2)C(=O)NC3=NC=C(S3)CC4=CC=C(C=C4)C(F)(F)F,Inactive,,,,Low,1,class = 1,QC'ed NCATS
535,170466934,72187552,CC1=C(N=C(S1)NC(=O)CC2=CC3=C(C=C2)OCO3)C4=CC5=C(C=C4)N(CC5)C(=O)C6=CC=CC=C6C(F)(F)F,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
536,174006367,56963315,C1CN(CCC2=CC=CC=C21)C3=NC(=NC(=C3)NCCC(=O)O)C4=CC=CC=N4,Inactive,,,,Low,1,class = 1,QC'ed NCATS
537,174007255,53239854,CC1=C(N(C2=C1C=C(C=C2)C(=O)N[C@@H](C)C3=CC=C(C=C3)[N+](=O)[O-])CC4=CC=C(C=C4)C5=CC=CC=C5C(=O)O)C,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
538,170466937,72187540,C1=CC=C(C=C1)C2=CN=C(N2)C(=O)NC3=NC=C(S3)CC4=CC=C(C=C4)C(F)(F)F,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
539,170466938,72187529,C1=CC=C(C=C1)N2C=C(N=C2)C(=O)NC3=NC=C(S3)CC4=CC=C(C=C4)C(F)(F)F,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
540,175422195,73424672,CC1=C(NC(=C1C(=O)C)C)C(=O)NC2=CC(=C(C=C2)OC)[S+](=O)(NC3=CC=CC=C3C#N)[O-],Active,,,,Moderate,70.99,class = 1,QC'ed NCATS
541,175422197,73424673,CC1=C(NC(=C1C(=O)C)C)C(=O)NC2=CC(=C(C=C2)OC)[S+](=O)(NC3=CC=C(C=C3)C#N)[O-],Active,,,,Moderate,35.66,class = 1,QC'ed NCATS
542,377020530,71608036,COC(=N)C1=NC2=C(S1)C3=C(C=C2)N=CN=C3NC4=C(C=C(C=C4)F)Br,Active,,,,Moderate,28.04,class = 1,QC'ed NCATS
543,363677744,44129660,C1=CC(=CC(=C1)C(=O)NCCO)C2=CC(=NC=N2)NC3=CC=C(C=C3)OC(F)(F)F,Active,,,,High,472.24,class = 0,QC'ed NCATS
544,174315288,73330286,CC1=C(NC(=C1C(=O)C)C)C(=O)NC2=CC(=C(C=C2)OCCCN(C)C)[S+](=O)(NC3=CC=C(C=C3)Br)[O-],Active,,,,Moderate,74.71,class = 1,QC'ed NCATS
545,363677745,72943187,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C,Active,,,,High,278.26,class = 0,QC'ed NCATS
546,363677752,76285486,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4,Inactive,,,,Low,6.08,class = 1,QC'ed NCATS
547,363677758,45378188,C1=CC=C(C=C1)CCNC(=O)C2=CC(=NC=C2)C3=NC=CC(=C3)C(=O)O,Inactive,,,,Low,1,class = 1,QC'ed NCATS
548,384569011,73010924,C1CN(CCC2=CC=CC=C21)C3=NC(=NC(=C3)NCCC(=O)O)C4=CN=CC=C4,Active,,,,Moderate,56.4,class = 1,QC'ed NCATS
549,363677761,133053865,C1CC1(C2=CC=C(C=C2)NC(=O)C3=CC(=NC=C3)C4=NC=CC(=C4)C(=O)O)N,Inactive,,,,Low,8.31,class = 1,QC'ed NCATS
550,363677762,133053880,COC(=O)C1=CC(=NC=C1)C2=NC=CC(=C2)C(=O)NC3=CC=C(C=C3)C4(CC4)N,Active,,,,High,>1000,class = 0,QC'ed NCATS
551,384569018,135565082,CN1C(=NC=N1)[C@@H]2[C@H](NC3=CC(=CC4=C3C2=NNC4=O)F)C5=CC=C(C=C5)F,Active,,,,Moderate,60.47,class = 1,QC'ed NCATS
552,363677776,44462758,C1CC[C@H]([C@H](C1)N)NC2=NC=C(C(=N2)NC3=CC(=CC=C3)N4N=CC=N4)C(=O)N,Active,,,,Moderate,11.7,class = 1,QC'ed NCATS
553,363677782,54766613,CCC(CC)(C(=O)N[C@@H](CCCN=C(N)N)C(=O)NC1(CCCC1)C(=O)NC(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F)NC(=O)C(C)C,Inactive,,,,Low,8,class = 1,QC'ed NCATS
554,312523666,118796328,CC1=CC(=NC(=C1)NC(=S)N2CCN(CC2)CC3=CC=C(C=C3)C(F)(F)F)C,Active,,,,High,>1000,class = 0,QC'ed NCATS
555,363677792,135566899,CC1=CC(=C(C=C1O)N)N=NC2=CC=C(C=C2)S(=O)(=O)NC3=CC=CC=N3,Active,,,,Moderate,29.39,class = 1,QC'ed NCATS
556,363677797,135564749,CC1=CC(=CC(=C1OCCO)C)C2=NC3=C(C(=CC(=C3)OC)OC)C(=O)N2,Active,,,,High,539.89,class = 0,QC'ed NCATS
557,377020242,74767274,CN(C1=CC=C(C=C1)C#N)C(=O)C2=CN3C(=CN=C3C=N2)C4=CC=C(C=C4)C(F)(F)F,Active,,,,High,874.08,class = 0,QC'ed NCATS
558,377020249,90157166,CNC(=O)C1=CC=C(C=C1)C2=CN=C3N2C=C(N=C3)C(=O)N(C)C4=CC=C(C=C4)Cl,Active,,,,High,119.61,class = 0,QC'ed NCATS
559,363677802,91623361,CC1=CN(C2=CC=CC=C12)CCN3CCN(CC3)C4=CC=CC=C4C5=CC(=CC(=C5)C#N)C(=O)NCCCN6CCCC6,Inactive,,,,Low,1,class = 1,QC'ed NCATS
560,384569031,66613669,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=C(C=C2)CNC(=O)C3=CN=C4C(=C3)C=NN4)C(F)(F)F,Active,,,,High,796.76,class = 0,QC'ed NCATS
561,384569033,46926360,C1CC(CCC1CC(=O)O)C2=CC=C(C=C2)N3CCOC4=NC=NC(=C4C3=O)N,Inactive,,,,Low,1.2,class = 1,QC'ed NCATS
562,363677805,1092458,CC1=CC(=NC=C1)NC2=NC(=CS2)C3=CC(=CC=C3)NC(=O)C,Active,,,,High,>1000,class = 0,QC'ed NCATS
