Solubility_log(mol/L),SMILES
-4.619923834,C=C(C)C(=O)OCCOC(=O)NCCC(C)CC(C)(C)CNC(=O)OCCOC(=O)C(=C)C
-4.6195835711,CCCCCCCCCCCC(=O)O
-4.6185,Cc1ccc(-c2ccccc2)cc1
-4.6168,C=C/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](/C=C(\C)C(=O)OC)C2(C)C)CC1=O
-4.615426652200915,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O
-4.6134788775999995,CC(=O)C1=C(C)C2CC3(C1)C(C)CCC3C2(C)C
-4.611806683867112,Cc1nnc(N2CCC(CNc3ccc(C#N)cn3)C2)c(C#N)c1C
-4.6112212345,CN1C(C)(C)CC(OC(=O)CCCCCCCCC(=O)OC2CC(C)(C)N(C)C(C)(C)C2)CC1(C)C.COC(=O)CCCCCCCCC(=O)OC1CC(C)(C)N(C)C(C)(C)C1
-4.611143148644345,Cc1cccc2c(=O)n(CCC(=O)Nc3cc(C4CC4)n[nH]3)cnc12
-4.611000000000001,COc1cc(OC)c2c(c1Cl)O[C@]1(C2=O)C(OC)CC(=O)C[C@H]1C
-4.61,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C
-4.61,COC(=O)C1(S(=O)(=O)c2ccc(C)cc2)CCCCC1
-4.61,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O
-4.61,O=c1nc(-c2ccccc2)oc2ccccc12
-4.608629384308406,CC(=O)Nc1ccc(Oc2ncnc3scc(-c4ccccc4)c23)cc1
-4.6084,O=c1oc(-c2ccccc2)nc2ccccc12
-4.608374179498693,Cc1nc2cc(NC(=O)CCc3c(C)nc4c(c(C)nn4C)c3C)ccc2o1
-4.6064,COC(=O)C(C)Oc1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1
-4.6063887787,C=CC(=O)OCCC[Si](OC)(OC)OC
-4.6051146656,O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].[Ca+2].[Ca+2].[Ca+2]
-4.6026,Nc1ccc(S(=O)(=O)Nc2cnc3ccccc3n2)cc1
-4.6024,O=C1c2ccccc2C(=O)c2c(O)c(O)cc(O)c21
-4.6022,S=C=Nc1cccc2ccccc12
-4.6021,Cc1c(Cl)c(O)c(Cl)c(Cl)c1Cl
-4.6001,CCCCCCCOC(=O)c1ccc(N)cc1
-4.6,CC#Cc1cc(C)nc(Nc2ccccc2)n1
-4.6,CCOC1=CC(=O)C2(Oc3c(Cl)c(OC)cc(OC)c3C2=O)C(C)C1
-4.6,Clc1cc(Cl)cc(Cl)c1
-4.6,c1ccc2c(c1)oc1ccccc12
-4.599788066423269,Cc1cc(C(=O)Nc2cccc(-c3cnco3)c2)c2c(C)nn(C)c2n1
-4.599310645308856,COc1ccccc1CC(=O)Nc1ncc(C)s1
-4.5985985087,C=C(C)C(=O)OC1CC(C)CC(C)(C)C1
-4.598,CNC(=O)Oc1c(C(C)(C)C)cc(C)cc1C(C)(C)C
-4.5971,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1
-4.5961,CCCCC(C)C
-4.596065772,CCCC[Sn](CCCC)(CCCC)CCCC
-4.595502563999999,O=C(OCCCOCCCOC(=O)c1ccccc1)c1ccccc1
-4.593999999999999,CN(C)c1ccc(N=Nc2ccc(N)cc2)cc1
-4.593999999999999,O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2
-4.5937500267,N#CCCOCCN(CCC#N)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2)cc1
-4.5936830655000005,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)cc-2oc2c(C3=CC=C[Hg]3)c([O-])c(Br)cc12.[Na+].[Na+]
-4.5922,CC(Oc1ccc(Oc2ncc(Cl)cc2Cl)cc1)C(=O)N1CCCO1
-4.5917,Clc1ccccc1-c1ccccc1
-4.5916,O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2
-4.59,CCCn1c(=O)c2[nH]c(C(C3CC3)C3CC3)nc2n(CCC)c1=O
-4.59,Cc1cc(C)c(C)cc1C
-4.59,Nc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2)c(Cl)c1
-4.59,O=C1NC(=O)C2(CCCCCCCCC2)C(=O)N1
-4.59,O=C1NC(=O)C2(CCCCCCCCCC2)C(=O)N1
-4.589885800199999,O=[N+]([O-])c1ccc(CCc2ccc([N+](=O)[O-])cc2)cc1
-4.589378726336589,COc1cccc(NC(=O)[C@H]2CCCN(S(=O)(=O)c3ccc(C)cc3)C2)c1
-4.588748384332687,N#Cc1ccsc1NC(=O)c1ccccn1
-4.5881768419,C=Cc1ccccc1.CCC(C)(c1ccccc1)c1ccccc1.CCc1cc(CC)c(CC)cc1CC.CCc1ccccc1.Cc1cccc2ccccc12.Cc1ccccc1.Cc1ccccc1-c1ccccc1.c1ccc(-c2ccccc2)cc1.c1ccc(C2CCCCC2)cc1.c1ccc(CCc2ccccc2)cc1.c1ccccc1
-4.587250024599999,CC(C)CCCCCCc1ccc(O)cc1
-4.585622432077494,Cc1c(C(=O)N2CCC(C(=O)Nc3ccc4c(c3)OCO4)CC2)oc2c(F)cccc12
-4.5835,CC(C)(C)C(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C
-4.5830924552,C=CC(=O)OC1C[C@@H]2CC[C@@]1(C)C2(C)C
-4.581332510899999,C=COC(=O)CCCCCC(C)(C)C
-4.580516866916051,CSc1ncccc1C(=O)Nc1ccc(N2CCCCC2=O)cc1
-4.5802538276,COc1ccc(C(=O)c2ccccc2)c(O)c1
-4.58,CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O
-4.58,CCOC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(Cl)cc(OC)n1
-4.5787304077,C=Cc1cc(Br)ccc1Br
-4.5784028785,O=C(Nc1ccccc1)Nc1ccccc1NS(=O)(=O)c1ccccc1
-4.577987852982993,NC(=O)c1ccccc1NC(=O)CN1CCCC(c2nc3ccccc3o2)C1
-4.5760000000000005,CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c1nc(Cl)cc(OC)n1
-4.575757934271319,Cc1ccc(CNC(=O)CN2CCC(n3nnc4cc(C(F)(F)F)ccc43)CC2)cc1
-4.574634686983379,CNC(=O)c1cnc(/C=C/c2csc(-c3cccs3)n2)s1
-4.5746,C#CCC1=C(C)C(OC(=O)[C@H]2[C@H](C=C(C)C)C2(C)C)CC1=O
-4.574392240271652,O=C(CN1CCCN(c2ccc(C(F)(F)F)cn2)CC1)Nc1ccccc1Cl
-4.5716709895,[Fe+3].[Fe+3].[Mo].[Mo].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2]
-4.571000000000001,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12
-4.570841998116504,O=C1Oc2nc3cc4c(cc3cc2CN1CCN1CCOCC1)OCO4
-4.57,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(O)C3CCC21C
-4.57,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C
-4.57,CC12CCC(O)CC1CCC1C2CCC2(C)C(C3=CC(=O)OC3)CCC12O
-4.57,CCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCC
-4.57,CNC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1C
-4.57,COC(=O)/C(=C/c1ccccc1)S(=O)(=O)c1ccc([N+](=O)[O-])cc1
-4.57,COP(=S)(OC)Oc1ccc(SC)c(C)c1
-4.57,Clc1ccc(Cl)c(Cl)c1Cl
-4.57,O=S1(=O)c2ccccc2-c2ccccc21
-4.5695,COP(=S)(OC)Oc1ccc(SC)c(C)c1
-4.56842148027599,Cc1ccc(-c2nc(CC(=O)NCCC(C)C)cs2)cc1
-4.567530057932739,Cc1noc(-c2ccc(NC(=O)Cc3ccccc3)cc2)n1
-4.5673029377,CC(COC(=O)c1ccccc1)OC(=O)c1ccccc1
-4.5666142382,CCCCCCCCCCCCCCCCCC(=O)NCCCN(C)C
-4.5661230993,O.O.O.O.O=S(=O)([O-])[O-].[Pb].[Pb].[Pb].[Pb].[Pb]
-4.5633510279000005,C=Cc1ccc(C(C)(C)C)cc1
-4.5619,CC(C)(C)C(O)C(Cc1ccc(Cl)cc1Cl)n1cncn1
-4.5619,Clc1ccc(Cl)c(Cl)c1Cl
-4.561,CC(C)OC(=O)[C@H](C)N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1
-4.560842229585926,Cc1cc(NC(=O)c2ccc(Cl)cc2F)no1
-4.560809322503719,CN(Cc1sccc1Br)c1nccnc1C#N
-4.560457817138737,Cc1ccc(NC(=O)CN2CCCC(c3nc4ccccc4o3)C2)cc1C
-4.56,Brc1ccc(I)cc1
-4.56,CCCCCCCOC(=O)c1ccc(O)c(I)c1
-4.5597626401,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Bi+3]
-4.5591,O=[N+]([O-])c1c(Cl)cc(Cl)cc1Cl
-4.5540762927,O=C(OC1CCCCC1)c1ccccc1O
-4.553999999999999,CCN1c2ncccc2C(=O)Nc2c(C)cc(C)nc21
-4.5531196112,O=C1OC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21
-4.5531,O=[N+]([O-])c1cc(Cl)c(Cl)c(Cl)c1Cl
-4.5526520781120094,O=c1[nH]c2ccccc2n1C1CCN(Cc2nnsc2Cl)CC1
-4.5526,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
-4.5523290911082555,Cc1nnnn1CCCc1ccccc1
-4.552,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)=O)cc1
-4.5511904657036455,O=C(/C=C\n1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)NNc1cnccn1
-4.550107873468214,CCOc1cccc(C(=O)Nc2ccc3c(c2)CCC(=O)N3C)c1
-4.55,CCNc1nc(Cl)nc(NCC)n1
-4.55,CN(C)CCC=C1c2ccccc2CCc2ccccc21
-4.55,Ic1cccc2ccccc12
-4.55,Nc1nc2[nH]c(=O)cnc2c(=O)[nH]1
-4.5452,O=C(Nc1ccc(Cl)cc1)c1cccc([N+](=O)[O-])c1O
-4.5446,COc1ccc(C(c2ccc(OC)cc2)C(C)[N+](=O)[O-])cc1
-4.5442204359,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C
-4.5412,CCCCOC(=O)N(C)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2
-4.5403282231999995,CCCC[Sn+2]CCCC.O=C([O-])/C=C/C(=O)[O-]
-4.5403,CC(C)(C)C(O)/C(=C\c1ccc(Cl)cc1)n1cncn1
-4.5403,CC(C)(C)[C@H](O)/C(=C\c1ccc(Cl)cc1)n1cncn1
-4.54,Clc1ccccc1-c1ccccc1
-4.54,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12
-4.538807325365303,O=C(NCCc1ccc2c(c1)OCCO2)c1ccc2ccccc2n1
-4.538416022041046,CCC(C)(C)NC(=O)C1(Cc2ccc(-c3cc(F)ccc3OC)cc2)CCOCC1
-4.5371,Clc1nc(Cl)nc(Nc2ccccc2Cl)n1
-4.536378597,CC(C)(O)C(=O)c1ccc(Cc2ccc(C(=O)C(C)(C)O)cc2)cc1
-4.535280051805512,CC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1
-4.5348386091,COC(=O)c1nc(Cl)c(Cl)nc1N
-4.531641359896886,Cc1ccc(C)c(NC(=O)CN2CCCN(c3ccc(C(F)(F)F)cn3)CC2)c1
-4.531289776027343,O=C(c1cc(-c2cccc(Cl)c2)on1)N1CCC(n2cccc2)CC1
-4.53,CC(=O)OC1CCC2(C)C(=CCC3C4CCC(=O)C4(C)CCC32)C1
-4.53,CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c1cccc(Cl)c1
-4.53,CCC1(CC)CCC(=O)NC1=O
-4.53,CCCCCCC
-4.53,CCCCCCCCCC(=O)Oc1ccc(NC(C)=O)cc1
-4.53,NC1C2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)CC12
-4.5296,NC1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12
-4.529165639859594,O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl
-4.5279650854232685,Cc1ccc(-c2nc(NCc3ccco3)ncc2-c2cc(C)no2)cn1
-4.526767282977745,CCOc1ccc(-c2csc(N)n2)cc1
-4.524775941100001,O=C1c2ccccc2C(=O)c2c1ccc1[nH]c(-c3cc(Cl)c(-c4nc5c6c(ccc5[nH]4)C(=O)c4ccccc4C6=O)cc3Cl)nc21
-4.5241,CCNc1nc(=O)nc(NC(C)C)[nH]1
-4.523907797200001,Oc1ccc(C(c2ccc(O)cc2)c2ccccn2)cc1
-4.5238,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
-4.522261465780805,CC(C)CCNC(=O)c1ccc2ccccc2n1
-4.5222231174,O=C(Nc1cc2c3cc(NC(=O)c4ccccc4)c4c(=O)c5ccccc5c(=O)c4c3[nH]c2c2c(=O)c3ccccc3c(=O)c12)c1ccccc1
-4.5221,COP(=O)(OC)O/C(=C/Cl)c1cc(Cl)c(Cl)cc1Cl
-4.522,COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl
-4.5218,c1ccc2sc(SSc3nc4ccccc4s3)nc2c1
-4.52,CCC(C)C(N)C(=O)OCCCCOC(=O)C(C)c1ccc2cc(OC)ccc2c1
-4.52,CCCCCCCCOC(=O)c1ccc(O)c(Br)c1
-4.52,CCCOC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O
-4.52,CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1
-4.52,CCc1ccc(NS(=O)(=O)c2ccc(N)cc2)cc1
-4.52,COC(=O)Nc1nc2ccccc2[nH]1
-4.52,COP(=O)(OC)O/C(=C\Cl)c1cc(Cl)c(Cl)cc1Cl
-4.52,COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl
-4.52,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1
-4.52,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1
-4.52,Nc1ccc(S(=O)(=O)Nc2ccc(I)cc2)cc1
-4.5191656494,O=[Ni]
-4.518639925395638,Cc1ccc(NC(=O)c2cc(F)cc(F)c2)nc1
-4.518,FC(F)(F)C(F)(F)C(F)(F)F
-4.518,Ic1cccc(I)c1
-4.5171,CCOP(=S)(OCC)SCn1nnc2ccccc2c1=O
-4.515561488138875,Cn1c(CNC(=O)Cc2cccc3ccccc23)nc2ccccc21
-4.5152,Nc1ccc(C(=O)Oc2ccccc2)c(O)c1
-4.5144193944,COC1=Cc2ccccc2Nc2ccccc21
-4.5143091680000005,S=S=[Ni][Ni][Ni]
-4.512359463296809,O=C(c1ccc(Cn2nnc(-c3cccc(F)c3)n2)cc1)N1CCCC1
-4.512,CCOC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1
-4.511965260249992,CCCCN(C)C(=O)c1cn(-c2ccc(C)c(C)c2)nn1
-4.511805723164719,COc1cc(/C=C2\CCCN([C@@H](C)c3ccc(F)cc3)C2=O)ccc1-n1cnc(C)c1
-4.51,Cc1cc(N)ccc1S(=O)(=O)Nc1ccccc1[N+](=O)[O-]
-4.5097094839,CC/C=C\CCOC(=O)C/C=C\CC
-4.5096151077,O=c1c2ccccc2c(=O)c2c1ccc1c2[nH]c2c3c(=O)c4ccccc4c(=O)c3c3[nH]c4c(ccc5c(=O)c6ccccc6c(=O)c54)c3c12
-4.507028667604065,Cc1nnc(NC(C2CC2)C2CC2)c(C#N)c1C
-4.506294352943241,O=C(NC1(c2ccccc2)CCC1)c1cc(C2CC2)on1
-4.5051,O=C(O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C(=O)Nc1cccc(Cl)c1Cl
-4.5035,COc1cc([C@@H]2c3cc4c(c(O)c3C[C@H]3COC(=O)[C@@H]32)OCO4)cc(OC)c1OC
-4.502630718954109,O=C(Nc1ccc2c3c(cccc13)CC2)c1ccnc(-n2cncn2)c1
-4.5021013295,CCCC=O.Nc1ccccc1
-4.5011269518,CCOC(=O)C1=C(COCCN2C(=O)c3ccccc3C2=O)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
-4.500947342581513,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1
-4.5007459195,CCC(C)(C)c1ccccc1
-4.5005872378,O=C([O-])[O-].[Mn+2]
-4.5,Brc1ccc(Br)c(Br)c1
-4.5,CC1(C)SC2C(N=CN3CCCCCC3)C(=O)N2C1C(=O)O
-4.5,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C/c1ccc(S(C)=O)cc1
-4.5,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O
-4.5,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1
-4.5,Cc1ccc2ccccc2c1NS(=O)(=O)c1ccc(N)cc1
-4.499707027510293,CC(C)[C@@H](C(=O)Nc1nc2ccccc2[nH]1)N1Cc2ccccc2C1=O
-4.4980268403,CCCCCCCCCc1ccc(O)cc1
-4.495443415572922,Cc1ncsc1C(=O)N1CCCCC1c1nc(N)ncc1-c1cccc(C(F)(F)F)c1
-4.4930858187,C=CC(=O)OCC1CC2CC1C1CCC(COC(=O)C=C)C21
-4.4927855243,C=CC(=O)OCC(CC)(COCC(CC)(COC(=O)C=C)COC(=O)C=C)COC(=O)C=C
-4.4900791512835685,O=C(NC1CCCCCC1)c1ccc(-c2cnco2)cc1
-4.49,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1
-4.49,Nc1ccc(S(=O)(=O)Nc2ccccc2[N+](=O)[O-])cc1
-4.4891053349000005,O=C(OCCc1ccccc1)c1ccccc1O
-4.48637747494065,c1ccc(OCc2cc(CC3(NCc4cnc5ccccc5c4)COC3)no2)cc1
-4.486038615345156,COc1ccc(CNC(=O)c2nnn(-c3ccc(OC)cc3)c2N)cc1
-4.485780150254422,COc1cc(C#N)ccc1Oc1nc2ccccc2o1
-4.484345093543784,CC1(C)CC(Oc2ccc(-c3ccc(-c4cn[nH]c4)cc3O)nn2)CC(C)(C)N1
-4.4817,CC(C)OC(=O)[C@@H](C)N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1
-4.48148689894491,Cc1ccc(NC(=O)CN2CCCN(c3ccc(C(F)(F)F)cn3)CC2)cc1
-4.4804406676,CCCCCCCCCCCO
-4.48,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(OC(=O)c3ccccc3)CCC12
-4.48,CC1C(N)CN1c1c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c2c1Cl
-4.48,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
-4.48,COc1ccc2c(c1)[nH]c1c(C)nccc12
-4.48,Clc1cc(Cl)cc(Cl)c1
-4.4786,COC(=O)C1(S(=O)(=O)c2ccc(Br)cc2)CCCCC1
-4.4784,CC1CCC(C)(C)C1
-4.4736374016876645,Cc1cc2cc(C(=O)N(Cc3ccc4c(c3)OCO4)C3CC3)ccc2o1
-4.4733,COc1ccc(C(=O)c2csc(S(N)(=O)=O)c2)cc1
-4.4728088442,CCOP(=O)(Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)OCC
-4.4725075357295125,Cc1ccc(CN(C)C(=O)c2cn(Cc3ccccc3F)nn2)cc1
-4.4720217682,Cc1ccc(C(C)(C)C)cc1
-4.4717,CC(=O)Oc1c([N+](=O)[O-])cc([N+](=O)[O-])c(C)c1C(C)(C)C
-4.4715404278,C=C1C2CCC(C2)C1(C)C
-4.4709,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl
-4.4708606495,CCCCCCCCCOC(C)=O
-4.47,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C
-4.47,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1
-4.47,CC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O
-4.47,CC(=O)Oc1c(C(C)(C)C)cc([N+](=O)[O-])c(C)c1[N+](=O)[O-]
-4.47,CC1CCC(C)CC1
-4.47,Cc1cccc(N(O)C(=O)c2ccc(Cl)cc2Cl)c1
-4.4694622333,CC(C)(C)CC(C)(C)c1ccc(O)cc1
-4.4694,CCCCCCC
-4.4691448782,[Mg+2].[OH-].[OH-]
-4.4689,COc1ccsc1CN(C(=O)CCl)c1c(C)cccc1C
-4.468544763079077,c1ccc(-c2ccc(CN3CCCCCCC3)cc2)cc1
-4.4657,CC1CCC(C)CC1
-4.4653328209,O=C1CN(O)C(c2ccccc2Cl)=c2cc(Cl)ccc2=N1
-4.4651,CSC1=CC(=O)c2ccccc2C1=O
-4.4645461779,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12
-4.4643,CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1
-4.4642,COC(=O)c1c(Cl)nn(C)c1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1
-4.4617795617,O=C(CC(CP1(=O)Oc2ccccc2-c2ccccc21)C(=O)OCCO)OCCO
-4.4617160697000005,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
-4.4611,O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2ccccc2)cc1O
-4.4603,O=C(Oc1ccccc1)n1c(C(F)(F)F)nc2cc(Cl)c(Cl)cc21
-4.460255384918669,CN(C)c1ccc(C(=O)N2CCN3C(=O)N(Cc4ccccc4)C(=O)[C@H]3C2)cc1
-4.46,CC(C)Nc1nc(Cl)nc(NC(C)C)n1
-4.46,CCCCCCCCCC1(CC)C(=O)NC(=O)NC1=O
-4.46,CCN(CC)C(=O)COC(=O)C(C)c1ccc2cc(OC)ccc2c1
-4.46,Cn1c2ccccc2c(=O)c2ccccc21
-4.46,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
-4.459049505671117,Cn1ncc2c1CCc1sc(NC(=O)c3cccnc3)nc1-2
-4.458990177,C=CCCCC(C)C
-4.458486333577075,Nc1ccc(Cl)c(NC2=NN(c3c(Cl)cc(Cl)cc3Cl)C(=O)C2)c1
-4.4584,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]32)C1
-4.4577,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
-4.4561,CCOC(=O)c1cnn(C)c1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1
-4.4544,c1ccc(N=Nc2ccccc2)cc1
-4.4543816995,CC(C)CCCCCOC(=O)CCS
-4.452,Brc1ccc(I)cc1
-4.4511392251999995,C=C(C)c1cccc(C(=C)C)c1
-4.4507609201,CCC(C)(OOC(C)(C)C)OOC(C)(C)C
-4.4504277175,O=c1c2ccccc2c2cc3ccc4c(=O)c5c(Br)c(Br)ccc5c5cc6ccc1c2c6c3c45
-4.4503,CCCC(C)C(=O)Nc1ccc(C)c(Cl)c1
-4.450082129872299,O=C(NC[C@@H]1CCN(c2ccccc2)C1)N1CCc2ccccc2C1
-4.45,Cc1c(OCc2ccccn2)ccc2c(=O)cc(N3CCOCC3)oc12
-4.45,O=c1oc2ccccc2c(O)c1C(CC(O)c1ccc(-c2ccc(Br)cc2)cc1)c1ccccc1
-4.45,c1ccc(N=Nc2ccccc2)cc1
-4.4492,Cc1ccc(C(=O)c2csc(S(N)(=O)=O)c2)cc1
-4.448167714599999,O=[Zn]
-4.447595725486706,CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1
-4.4462039036,CCC(C)(C)C1CCCCC1OC(C)=O
-4.4461,COc1cc(NC(=O)c2cccnc2)c2ncccc2c1
-4.445200849683529,Cc1ccccc1OCCCNc1cc(Cn2c(C)nc3ccccc32)nc(N)n1
-4.445,Cn1cc(-c2ccccc2)c(=O)c(-c2cccc(C(F)(F)F)c2)c1
-4.445,O=c1oc2ccccc2c(O)c1C(CC(O)c1ccc(-c2ccc(Br)cc2)cc1)c1ccccc1
-4.4435,O=C1C(=O)c2ccccc2-c2ccccc21
-4.441345542504887,Cc1ccc(C2=NC3(CCN(Cc4ccc(F)cc4)CC3)NC2=O)cc1
-4.440873287635451,O=C(Cc1csc(-c2ccccn2)n1)NC1CCCCCC1
-4.4404,CC(C)(C)N(NC(=O)c1ccc(Cl)cc1)C(=O)c1ccccc1
-4.44,C=CCCCCCC
-4.44,CC(=O)Oc1ccc(NC(=O)Nc2ccccc2)cc1
-4.44,CCCCCCCC(=O)Oc1ccc(NC(C)=O)cc1
-4.44,CCCOCC(=Nc1ccc(Cl)cc1C(F)(F)F)n1ccnc1
-4.44,CCOc1ccc(NC(=O)Nc2ccc(OCC)cc2)cc1
-4.44,CNC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1C
-4.44,S=C=Nc1ccc2ccccc2c1
-4.43923612809497,Cc1ccn(-c2ccc3[nH]c4c(c3c2)CCCC4=O)n1
-4.4384,Cn1cc(-c2ccccc2)c(=O)c(-c2cccc(C(F)(F)F)c2)c1
-4.43834302732556,Cc1nc(C(C)C)sc1C(=O)Nc1nc(C(C)(C)C)cs1
-4.438043202778578,COCCOCc1ccc(-c2cc3onc(-c4ccccc4)c3c(=O)n2C)cc1
-4.4379626594,O[C@]12COC(c3ccccc3)O[C@@H]1[C@H]1OC(c3ccccc3)OC[C@H]1O2
-4.4376297831042555,O=C(CCc1ccc2c(c1)OCO2)Nc1nc2c(s1)CCC2
-4.4373,C=CCCCCCC
-4.4363,C=C(c1ccccc1)c1ccccc1
-4.4363,CSC(=O)c1cccc2nnsc12
-4.435356748651927,COc1ccc(-c2ccc(CNc3ccc(CN4CCC(C)CC4)cc3)cc2)cc1
-4.435145858236819,CCS(=O)(=O)Nc1ccc(Oc2ccc(F)cc2F)c(-c2cn(C)c(=O)c3[nH]ccc23)c1
-4.4346903729000005,N#CNC(N)=NCCCCCCN=C(N)NC#N
-4.434405367585394,Cn1cc(-c2nnc(NCc3ccc4ccccc4c3)o2)cn1
-4.4325,C=C(C)C(=O)Nc1ccc(Cl)c(Cl)c1
-4.4321,COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C
-4.4319999999999995,COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C
-4.431,CCCCCCCBr
-4.43,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
-4.43,CC(C)Nc1nc(Cl)nc(NC(C)C)n1
-4.43,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1
-4.43,CCCCCCCBr
-4.43,CCCCCCOC(=O)c1ccc(O)c(I)c1
-4.43,CCNc1nc(Cl)nc(NC(C)(C)C)n1
-4.43,CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21
-4.43,Nc1nc2nc[nH]c2c(=O)[nH]1
