SMILES,CASRN,EXTERNALID,N,NAME,ARTICLEID,PUBMEDID,PAGE,TABLE,Solubility_log(mol/L),UNIT {Water solubility},"Water solubility {measured, converted}",UNIT {Water solubility}.1,Dataset,Temperature,UNIT {Temperature},Ionic strength,UNIT {Ionic strength},comment (chemical),source,pH,UNIT {pH}
O=N(OCC(ON(=O)=O)CON(=O)=O)=O,-,-,1,nitroglycerin,A165,18484495,-,2,-2.22,log(mol/L),2.22,-log(M),Train,,-,,-,,,,-
N1=CC=C(N=C1S)O,-,-,2,2-thiouracil,A165,18484495,-,2,-2.26,log(mol/L),2.26,-log(M),Train,,-,,-,,,,-
CC(=O)NC1=NN=C(S1)S(=O)(=O)N,-,-,3,Acetazolamide,A165,18484495,-,2,-2.36,log(mol/L),2.36,-log(M),Train,,-,,-,,,,-
CC(=O)N=C1N(C)N=C(S(=O)(=O)N)S1,-,-,4,methazolamide,A165,18484495,-,2,-1.83,log(mol/L),1.83,-log(M),Train,,-,,-,,,,-
O=C1NCCN1C2=NC=C(S2)N(=O)=O,-,-,5,niridazole,A165,18484495,-,2,-3.22,log(mol/L),3.22,-log(M),Train,,-,,-,,,,-
O=N(=O)OC1C2OCC(ON(=O)=O)C2OC1,-,-,6,isosorbide dinitrate,A165,18484495,-,2,-2.63,log(mol/L),2.63,-log(M),Train,,-,,-,,,,-
CC1=NC=C(N(=O)=O)N1CCO,-,-,7,Metronidazole,A165,18484495,-,2,-1.19,log(mol/L),1.19,-log(M),Train,,-,,-,,,,-
O=C1NS(=O)(=O)C2=CC=CC=C12,-,-,8,saccharin,A165,18484495,-,2,-1.63,log(mol/L),1.63,-log(M),Train,,-,,-,,,,-
NS(=O)(=O)C1=C(Cl)C=C2N=CNS(=O)(=O)C2=C1,-,-,9,Chlorothiazide,A165,18484495,-,2,-3.02,log(mol/L),3.02,-log(M),Train,,-,,-,,,,-
O=C(C1=CC=CN=C1)OC,-,-,10,methyl nicotinate,A165,18484495,-,2,-0.46,log(mol/L),0.46,-log(M),Train,,-,,-,,,,-
O=S(=O)(N)C1=C(C=C2NCNS(=O)(=O)C2=C1)Cl,-,-,11,Hydrochlorothiazide,A165,18484495,-,2,-2.62,log(mol/L),2.62,-log(M),Train,,-,,-,,,,-
N1C(=O)N(C)C=2N=CN(C)C2C1=O,-,-,12,theobromine,A165,18484495,-,2,-2.74,log(mol/L),2.74,-log(M),Train,,-,,-,,,,-
CN1C(N(C2=C(C1=O)NC=N2)C)=O,-,-,13,Theophylline,A165,18484495,-,2,-1.39,log(mol/L),1.39,-log(M),Train,,-,,-,,,,-
OCC1=C(O)C=CC=C1,-,-,14,salicyl alcohol,A165,18484495,-,2,-0.29,log(mol/L),0.29,-log(M),Train,,-,,-,,,,-
N1C(=S)NC(=O)C=C1CCC,-,-,15,propylthiouracil,A165,18484495,-,2,-2.15,log(mol/L),2.15,-log(M),Train,,-,,-,,,,-
O=C(NC(=O)C(Br)(CC)CC)N,-,-,16,carbromal,A165,18484495,-,2,-2.68,log(mol/L),2.68,-log(M),Train,,-,,-,,,,-
O=C(NC1=CC=C(O)C=C1)C,-,-,17,Acetaminophen,A165,18484495,-,2,-1.03,log(mol/L),1.03,-log(M),Train,,-,,-,,,,-
O=C(NS(=O)(=O)C1=CC=C(N)C=C1)C,-,-,18,Sulfacetamide,A165,18484495,-,2,-1.23,log(mol/L),1.23,-log(M),Train,,-,,-,,,,-
OC(C1=CC=CC=C1)CN,-,-,19,phenylethanolamine,A165,18484495,-,2,-0.48,log(mol/L),0.48,-log(M),Train,,-,,-,,,,-
NCCC1=CC=C(O)C=C1,-,-,20,tyramine,A165,18484495,-,2,-1.12,log(mol/L),1.12,-log(M),Train,,-,,-,,,,-
CCC1(CC)C(=O)NC(=O)NC1=O,-,-,21,barbital,A165,18484495,-,2,-1.43,log(mol/L),1.43,-log(M),Train,,-,,-,,,,-
N1CCCCC1CC(=O)C,-,-,22,pelletierine,A165,18484495,-,2,-0.45,log(mol/L),0.45,-log(M),Train,,-,,-,,,,-
CCCC1CCCCN1,-,-,23,coniine,A165,18484495,-,2,-0.85,log(mol/L),0.85,-log(M),Train,,-,,-,,,,-
C1=CC(N)=CC=C1S(=O)(=O)NC2=NC=CS2,-,-,24,Sulfathiazole,A165,18484495,-,2,-2.61,log(mol/L),2.61,-log(M),Train,,-,,-,,,,-
CCOC1=CC=C2N=C(S(N)(=O)=O)SC2=C1,-,-,25,Ethoxzolamide,A165,18484495,-,2,-3.81,log(mol/L),3.81,-log(M),Train,,-,,-,,,,-
C1=CC(N)=CC=C1S(=O)(=O)NC2=NN=C(C)S2,-,-,26,Sulfamethizole,A165,18484495,-,2,-2.48,log(mol/L),2.48,-log(M),Train,,-,,-,,,,-
O=C(O)C(N)CC1=CC=C(O)C(O)=C1,-,-,27,levodopa,A165,18484495,-,2,-1.6,log(mol/L),1.6,-log(M),Train,,-,,-,,,,-
CCOC1=CC=C(NC(N)=O)C=C1,-,-,28,dulcin,A165,18484495,-,2,-2.17,log(mol/L),2.17,-log(M),Train,,-,,-,,,,-
CCC1(CC)C(=O)NC(=O)N(C)C1=O,-,-,29,metharbital,A165,18484495,-,2,-2.0,log(mol/L),2.0,-log(M),Train,,-,,-,,,,-
C1C2N(C)C(C(C(C2)O)C(=O)O)C1,-,-,30,ecgonine,A165,18484495,-,2,-0.02,log(mol/L),0.02,-log(M),Train,,-,,-,,,,-
O=C(OCC(CCC)(C)COC(=O)N)N,-,-,31,Meprobamate,A165,18484495,-,2,-1.71,log(mol/L),1.71,-log(M),Train,,-,,-,,,,-
S1C(=C(N=C1[H])C=2N(C=3C(N2)=C(C(=C(C3[H])[H])[H])[H])[H])[H],-,-,32,Thiabendazole,A165,18484495,-,2,-2.6,log(mol/L),2.6,-log(M),Train,,-,,-,,,,-
O=S(=O)(NC1=NC=CC=N1)C2=CC=C(N)C=C2,-,-,33,sulfadiazine,A165,18484495,-,2,-3.54,log(mol/L),3.54,-log(M),Train,,-,,-,,,,-
CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1,-,-,34,sulfamethoxazole,A165,18484495,-,2,-2.62,log(mol/L),2.62,-log(M),Train,,-,,-,,,,-
CCC1NC(=O)C2=CC(=C(Cl)C=C2N1)S(N)(=O)=O,-,-,35,quinethazone,A165,18484495,-,2,-3.29,log(mol/L),3.29,-log(M),Train,,-,,-,,,,-
OCC1OC(C(O)C1O)N2C=NC=3C(=O)NC=NC23,-,-,36,inosine,A165,18484495,-,2,-1.23,log(mol/L),1.23,-log(M),Train,,-,,-,,,,-
C1=CC(Cl)=CC=C1S(=O)(=O)NC(=O)NCCC,-,-,37,chlorpropamide,A165,18484495,-,2,-3.03,log(mol/L),3.03,-log(M),Train,,-,,-,,,,-
CCCOC(=O)C1=CC=C(N)C=C1,-,-,38,risocaine,A165,18484495,-,2,-2.33,log(mol/L),2.33,-log(M),Train,,-,,-,,,,-
O=C1N(C(=O)C=2N(C=NC2N1C)CC(O)CO)C,-,-,39,dyphylline,A165,18484495,-,2,-0.17,log(mol/L),0.17,-log(M),Train,,-,,-,,,,-
OC(C1=CC=CC=C1)C(NC)C,-,-,40,Ephedrine,A165,18484495,-,2,-0.41,log(mol/L),0.41,-log(M),Train,,-,,-,,,,-
N(C(=S)SSC(N(CC)CC)=S)(CC)CC,-,-,41,disulfiram,A165,18484495,-,2,-4.86,log(mol/L),4.86,-log(M),Train,,-,,-,,,,-
OC1C(CCC(C)C1)C(C)C,-,-,42,menthol,A165,18484495,-,2,-2.53,log(mol/L),2.53,-log(M),Train,,-,,-,,,,-
C1=CC=2C(=O)C=C(C)C(=O)C2C=C1,-,-,43,menadione,A165,18484495,-,2,-3.03,log(mol/L),3.03,-log(M),Train,,-,,-,,,,-
O=S(=O)(NC1=NC=CC=C1)C2=CC=C(N)C=C2,-,-,44,sulfapyridine,A165,18484495,-,2,-2.97,log(mol/L),2.97,-log(M),Train,,-,,-,,,,-
O=C(NC(C(O)C1=CC=C(N(=O)=O)C=C1)CO)C(Cl)Cl,-,-,45,Chloramphenicol,A165,18484495,-,2,-1.94,log(mol/L),1.94,-log(M),Train,,-,,-,,,,-
O=S(=O)(NC1=NC=CC(C)=N1)C2=CC=C(N)C=C2,-,-,46,sulfamerazine,A165,18484495,-,2,-3.12,log(mol/L),3.12,-log(M),Train,,-,,-,,,,-
C1=CC(N)=CC=C1S(=O)(=O)NC2=NC(C)=C(C)O2,-,-,47,sulfamoxole,A165,18484495,-,2,-2.44,log(mol/L),2.44,-log(M),Train,,-,,-,,,,-
O=C(OCCCC)C1=CC=C(O)C=C1,-,-,48,Butylparaben,A165,18484495,-,2,-2.89,log(mol/L),2.89,-log(M),Train,,-,,-,,,,-
O=C(NCCCC)NS(=O)(=O)C1=CC=C(N)C=C1,-,-,49,carbutamide,A165,18484495,-,2,-2.71,log(mol/L),2.71,-log(M),Train,,-,,-,,,,-
ClC1=C(S(=O)(=O)N)C=C(C(NCC=2OC=CC2)=C1)C(O)=O,-,-,50,Furosemide,A165,18484495,-,2,-3.66,log(mol/L),3.66,-log(M),Train,,-,,-,,,,-
O=S(=O)(C1=CC=C(N)C=C1)C2=CC=C(N)C=C2,-,-,51,dapsone,A165,18484495,-,2,-2.82,log(mol/L),2.82,-log(M),Train,,-,,-,,,,-
CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,-,-,52,Phenobarbital,A165,18484495,-,2,-2.34,log(mol/L),2.34,-log(M),Train,,-,,-,,,,-
CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,-,-,53,Primidone,A165,18484495,-,2,-2.64,log(mol/L),2.64,-log(M),Train,,-,,-,,,,-
S(=O)(=O)(NC=1N=C(C=C(N1)C)C)C2=CC=C(N)C=C2,-,-,54,Sulfamethazine,A165,18484495,-,2,-2.81,log(mol/L),2.81,-log(M),Train,,-,,-,,,,-
C1=CC(N)=CC=C1S(=O)(=O)NC2=NN=C(C(C)(C)C)S2,-,-,56,glybuthiazole,A165,18484495,-,2,-3.74,log(mol/L),3.74,-log(M),Train,,-,,-,,,,-
O=C1NC(=S)NC(=O)C1(CC=C)C(C)CCC,-,-,57,thiamylal,A165,18484495,-,2,-3.71,log(mol/L),3.71,-log(M),Train,,-,,-,,,,-
O=C(NCCCC)NS(=O)(=O)C1=CC=C(C=C1)C,-,-,58,tolbutamide,A165,18484495,-,2,-3.39,log(mol/L),3.39,-log(M),Train,,-,,-,,,,-
ClC1=CC(N(=O)=O)=CC=C1NC(=O)C2=CC(Cl)=CC=C2O,-,-,59,niclosamide,A165,18484495,-,2,-4.7,log(mol/L),4.7,-log(M),Train,,-,,-,,,,-
OC(=O)C1=CC=CN=C1NC2=CC(C(F)(F)F)=CC=C2,-,-,60,Niflumic acid,A165,18484495,-,2,-4.17,log(mol/L),4.17,-log(M),Train,,-,,-,,,,-
O=C(OC1=CC=CC=C1)C2=C(O)C=CC=C2,-,-,61,phenyl salicylate,A165,18484495,-,2,-3.15,log(mol/L),3.15,-log(M),Train,,-,,-,,,,-
CCC1(CCC(=O)NC1=O)C2=CC=CC=C2,-,-,62,glutethimide,A165,18484495,-,2,-2.34,log(mol/L),2.34,-log(M),Train,,-,,-,,,,-
O=C(O)C(C1=CC=C(C=C1)CC(C)C)C,-,-,63,Ibuprofen,A165,18484495,-,2,-3.99,log(mol/L),3.99,-log(M),Train,,-,,-,,,,-
O1C(C(O)C(O)C(O)C1OC2=C(C=CC=C2)CO)CO,-,-,64,salicin,A165,18484495,-,2,-0.85,log(mol/L),0.85,-log(M),Train,,-,,-,,,,-
O=C(C1=CC=C(C=C1)N)OCCN(CC)CC,-,-,65,procaine,A165,18484495,-,2,-1.57,log(mol/L),1.57,-log(M),Train,,-,,-,,,,-
C1=C(CO)C(O)=CC=C1C(O)CNC(C)(C)C,-,-,66,salbutamol,A165,18484495,-,2,-1.22,log(mol/L),1.22,-log(M),Train,,-,,-,,,,-
OC(=O)C1=CC=CC=C1NC2=CC(C(F)(F)F)=CC=C2,-,-,67,flufenamic acid,A165,18484495,-,2,-4.4,log(mol/L),4.4,-log(M),Train,,-,,-,,,,-
O1C=2C(=C(OC)C3=C(OC=C3)C2OC)C(=O)C=C1C,-,-,68,khellin,A165,18484495,-,2,-2.4,log(mol/L),2.4,-log(M),Train,,-,,-,,,,-
COC1=CC=C2C=C(C=CC2=C1)C(C)C(O)=O,-,-,69,Naproxen,A165,18484495,-,2,-3.89,log(mol/L),3.89,-log(M),Train,,-,,-,,,,-
O=C1NC(=O)NC(=O)C1(CC)C2=CC3CC(CC3)C2,-,-,70,reposal,A165,18484495,-,2,-2.77,log(mol/L),2.77,-log(M),Train,,-,,-,,,,-
COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,-,-,71,Trimethoprim,A165,18484495,-,2,-2.86,log(mol/L),2.86,-log(M),Train,,-,,-,,,,-
COC1=CC=C(CC2NCC(O)C2OC(C)=O)C=C1,-,-,72,anisomycin,A165,18484495,-,2,-1.61,log(mol/L),1.61,-log(M),Train,,-,,-,,,,-
CN(C)CCN(C1=CC=CC=N1)CC2=CC=CS2,-,-,73,methapyrilene,A165,18484495,-,2,-2.64,log(mol/L),2.64,-log(M),Train,,-,,-,,,,-
C1=CC(C)=CC=C1S(=O)(=O)NC(=O)NC2CCCCC2,-,-,74,tolcyclamide,A165,18484495,-,2,-4.21,log(mol/L),4.21,-log(M),Train,,-,,-,,,,-
CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CCCCCC2,-,-,75,tolazamide,A165,18484495,-,2,-3.68,log(mol/L),3.68,-log(M),Train,,-,,-,,,,-
O=C(NC1=C(C=CC=C1C)C)CN(CC)CC,-,-,76,lidocaine,A165,18484495,-,2,-1.76,log(mol/L),1.76,-log(M),Train,,-,,-,,,,-
O=C1NC(=O)C(N1)(C2=CC=CC=C2)C3=CC=CC=C3,-,-,77,Phenytoin,A165,18484495,-,2,-3.99,log(mol/L),3.99,-log(M),Train,,-,,-,,,,-
C1=CC=CC=C1C2=C(F)C=C(C(C)C(=O)O)C=C2,-,-,78,Flurbiprofen,A165,18484495,-,2,-4.48,log(mol/L),4.48,-log(M),Train,,-,,-,,,,-
C1=CC=C2SC3=CC=C(CC(=O)O)C=C3N(C)C2=C1,-,-,79,metiazinic acid,A165,18484495,-,2,-3.94,log(mol/L),3.94,-log(M),Train,,-,,-,,,,-
CN1C(=C(O)C2=CC=CC=C2S1(=O)=O)C(=O)NC3=CC=CC=N3,-,-,80,Piroxicam,A165,18484495,-,2,-4.16,log(mol/L),4.16,-log(M),Train,,-,,-,,,,-
NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F,-,-,81,bendroflumethiazide,A165,18484495,-,2,-3.59,log(mol/L),3.59,-log(M),Train,,-,,-,,,,-
C1=C(S(=O)(=O)N)C(Cl)=CC(O)=C1C(=O)NC2=C(C)C=CC=C2C,-,-,82,Xipamide,A165,18484495,-,2,-3.79,log(mol/L),3.79,-log(M),Train,,-,,-,,,,-
OC(=O)C1=CC=CC=C1NC2=C(C)C(C)=CC=C2,-,-,83,mefenamic acid,A165,18484495,-,2,-4.08,log(mol/L),4.08,-log(M),Train,,-,,-,,,,-
NC(C(=O)NC1C2SCC(=C(N2C1=O)C(O)=O)Cl)C3=CC=CC=C3,-,-,84,Cefaclor,A165,18484495,-,2,-1.59,log(mol/L),1.59,-log(M),Train,,-,,-,,,,-
CCOC(=O)C1(CCN(C)CC1)C2=CC=CC=C2,-,-,85,meperidine,A165,18484495,-,2,-1.89,log(mol/L),1.89,-log(M),Train,,-,,-,,,,-
O=C(NC1=C(C=CC=C1C)C)C2N(CCCC2)C,-,-,86,Mepivacaine,A165,18484495,-,2,-1.55,log(mol/L),1.55,-log(M),Train,,-,,-,,,,-
C1=CC(OCC)=CC=C1C(=O)OCCN(CC)CC,-,-,87,parethoxycaine,A165,18484495,-,2,-2.71,log(mol/L),2.71,-log(M),Train,,-,,-,,,,-
OC(=O)C1=CC(=NC=2C=CC=CC12)C3=CC=CC=C3,-,-,88,Cinchophen,A165,18484495,-,2,-3.19,log(mol/L),3.19,-log(M),Train,,-,,-,,,,-
O=C1N(C2=C(C=C(C=C2)Cl)C(=NC1)C3=CC=CC=C3)C,-,-,89,Diazepam,A165,18484495,-,2,-3.76,log(mol/L),3.76,-log(M),Train,,-,,-,,,,-
O=C(C1=CC=2NC(=NC2C=C1)NC(OC)=O)C3=CC=CC=C3,-,-,90,mebendazole,A165,18484495,-,2,-3.62,log(mol/L),3.62,-log(M),Train,,-,,-,,,,-
ClC1=CC2=C(N(O)CC(N=C2C=C1)=NC)C3=CC=CC=C3,-,-,91,Chlordiazepoxide,A165,18484495,-,2,-2.18,log(mol/L),2.18,-log(M),Train,,-,,-,,,,-
O=C(C1=CC=CC(C(C(=O)O)C)=C1)C2=CC=CC=C2,-,-,92,Ketoprofen,A165,18484495,-,2,-3.7,log(mol/L),3.7,-log(M),Train,,-,,-,,,,-
CC1NC2=CC(Cl)=C(C=C2C(=O)N1C3=CC=CC=C3C)S(N)(=O)=O,-,-,93,Metolazone,A165,18484495,-,2,-4.33,log(mol/L),4.33,-log(M),Train,,-,,-,,,,-
CC1(C)SC2C(NC(=O)C(N)C3=CC=CC=C3)C(=O)N2C1C(O)=O,-,-,94,Ampicillin,A165,18484495,-,2,-1.54,log(mol/L),1.54,-log(M),Train,,-,,-,,,,-
CC1=C(N2C(SC1)C(NC(=O)C(N)C3=CCC=CC3)C2=O)C(O)=O,-,-,95,Cephradine,A165,18484495,-,2,-1.21,log(mol/L),1.21,-log(M),Train,,-,,-,,,,-
N1=C(N(CC2=CC=CC=C2)CCN(C)C)C=CC=C1,-,-,96,Tripelennamine,A165,18484495,-,2,-2.64,log(mol/L),2.64,-log(M),Train,,-,,-,,,,-
COC1=CC(=O)CC(C)C12OC3=C(Cl)C(OC)=CC(OC)=C3C2=O,-,-,97,Griseofulvin,A165,18484495,-,2,-4.59,log(mol/L),4.59,-log(M),Train,,-,,-,,,,-
CN(C)CCCN1C2=CC=CC=C2SC3=CC=C(Cl)C=C13,-,-,98,Chlorpromazine,A165,18484495,-,2,-5.1,log(mol/L),5.1,-log(M),Train,,-,,-,,,,-
CN(C)CCCN1C2=CC=CC=C2SC3=CC=C(C(F)(F)F)C=C13,-,-,99,Trifluopromazine,A165,18484495,-,2,-5.3,log(mol/L),5.3,-log(M),Train,,-,,-,,,,-
C1=CC2C3N(C)CCC42C5=C(C(=CC=C5C3)O)OC4C1O,-,-,100,Morphine,A165,18484495,-,2,-3.28,log(mol/L),3.28,-log(M),Train,,-,,-,,,,-
N1CCN=C1CN(C2=CC=CC=C2)CC3=CC=CC=C3,-,-,101,antazoline,A165,18484495,-,2,-2.6,log(mol/L),2.6,-log(M),Train,,-,,-,,,,-
C1=CC=C2SC3=CC=CC=C3N(CCCN(C)C)C2=C1,-,-,102,Promazine,A165,18484495,-,2,-4.3,log(mol/L),4.3,-log(M),Train,,-,,-,,,,-
C1=CC=C2SC3=CC=CC=C3N(CC(C)N(C)C)C2=C1,-,-,103,Promethazine,A165,18484495,-,2,-4.26,log(mol/L),4.26,-log(M),Train,,-,,-,,,,-
CC1=C(C)C=C2N=C3C(=O)NC(=O)N=C3N(CC(O)C(O)C(O)CO)C2=C1,-,-,104,Riboflavine,A165,18484495,-,2,-3.65,log(mol/L),3.65,-log(M),Train,,-,,-,,,,-
O(C1C(C2N(C(CC2)C1)C)C(OC)=O)C(=O)C3=CC=CC=C3,-,-,105,Cocaine,A165,18484495,-,2,-2.23,log(mol/L),2.23,-log(M),Train,,-,,-,,,,-
CN1C2CC(CC1C3OC23)OC(=O)C(CO)C4=CC=CC=C4,-,-,106,Scopolamine,A165,18484495,-,2,-0.5,log(mol/L),0.5,-log(M),Train,,-,,-,,,,-
O=C(OC1CC2N(C(CC2)C1)C)C(C3=CC=CC=C3)CO,-,-,107,Atropine,A165,18484495,-,2,-2.12,log(mol/L),2.12,-log(M),Train,,-,,-,,,,-
O(CCN(CC)CC)C(=O)C1=CC=C(OCCCC)C=C1,-,-,108,Butoxycaine,A165,18484495,-,2,-3.89,log(mol/L),3.89,-log(M),Train,,-,,-,,,,-
OC1=CC=C(C(C(C2=CC=C(O)C=C2)=CC)=CC)C=C1,-,-,109,dienestrol,A165,18484495,-,2,-4.95,log(mol/L),4.95,-log(M),Train,,-,,-,,,,-
C1=C(O)C=C2C=CC=3C4CCC(=O)C4(C)CCC3C2=C1,-,-,110,equilenin,A165,18484495,-,2,-5.24,log(mol/L),5.24,-log(M),Train,,-,,-,,,,-
OC1=CC=C(C(=C(C2=CC=C(O)C=C2)CC)CC)C=C1,-,-,111,Diethylstilbestrol,A165,18484495,-,2,-4.35,log(mol/L),4.35,-log(M),Train,,-,,-,,,,-
C1=C(O)C=C2CC=C3C4CCC(=O)C4(C)CCC3C2=C1,-,-,112,equilin,A165,18484495,-,2,-5.28,log(mol/L),5.28,-log(M),Train,,-,,-,,,,-
O1C2C34C(C(N(CC3)C)CC5=C4C1=C(OC)C=C5)C=CC2O,-,-,113,Codeine,A165,18484495,-,2,-1.48,log(mol/L),1.48,-log(M),Train,,-,,-,,,,-
CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C13,-,-,114,Desipramine,A165,18484495,-,2,-3.66,log(mol/L),3.66,-log(M),Train,,-,,-,,,,-
O=C1C2(C(C3C(C4=C(C=C(O)C=C4)CC3)CC2)CC1)C,-,-,115,estrone,A165,18484495,-,2,-3.96,log(mol/L),3.96,-log(M),Train,,-,,-,,,,-
C1=CC(O)=CC=C1C(CC)C(CC)C2=CC=C(O)C=C2,-,-,116,hexestrol,A165,18484495,-,2,-4.35,log(mol/L),4.35,-log(M),Train,,-,,-,,,,-
CC12CCC3C(CCC4=CC(O)=CC=C34)C1CCC2O,-,-,117,Estradiol,A165,18484495,-,2,-4.87,log(mol/L),4.87,-log(M),Train,,-,,-,,,,-
CCCCN1CCCCC1C(=O)NC2=C(C)C=CC=C2C,-,-,118,bupivacaine,A165,18484495,-,2,-2.76,log(mol/L),2.76,-log(M),Train,,-,,-,,,,-
OC(CNC(C)(C)C)COC1=C(C2CCCC2)C=CC=C1,-,-,119,Penbutolol,A165,18484495,-,2,-1.62,log(mol/L),1.62,-log(M),Train,,-,,-,,,,-
COC1=CC=C2N(C(=O)C3=CC=C(Cl)C=C3)C(C)=C(CC(=O)O)C2=C1,-,-,120,Indomethacin,A165,18484495,-,2,-4.6,log(mol/L),4.6,-log(M),Train,,-,,-,,,,-
C1=CC=C2C(O)=C(C(C3=CC=CC=C3)CC(=O)C)C(=O)OC2=C1,-,-,121,Warfarin,A165,18484495,-,2,-3.89,log(mol/L),3.89,-log(M),Train,,-,,-,,,,-
OCC(O)COC(=O)C1=CC=CC=C1NC2=CC=NC=3C=C(Cl)C=CC23,-,-,122,Glafenine,A165,18484495,-,2,-4.57,log(mol/L),4.57,-log(M),Train,,-,,-,,,,-
CC(CCC1C(N(C2=CC=CC=C2)N(C3=CC=CC=C3)C1=O)=O)=O,-,-,123,kebuzone,A165,18484495,-,2,-3.27,log(mol/L),3.27,-log(M),Train,,-,,-,,,,-
O=C1N(N(C(=O)C1CCCC)C2=CC=CC=C2)C3=CC=CC=C3,-,-,124,Phenylbutazone,A165,18484495,-,2,-3.81,log(mol/L),3.81,-log(M),Train,,-,,-,,,,-
CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31,-,-,125,Doxepin,A165,18484495,-,2,-3.95,log(mol/L),3.95,-log(M),Train,,-,,-,,,,-
OC(C=1C2=C(N=CC1)C=CC=C2)C3N4CCC(C(C=C)C4)C3,-,-,126,cinchonidine,A165,18484495,-,2,-3.07,log(mol/L),3.07,-log(M),Train,,-,,-,,,,-
OC(C=1C2=C(N=CC1)C=CC=C2)C3N4CCC(C(C=C)C4)C3,-,-,127,cinchonine,A165,18484495,-,2,-3.09,log(mol/L),3.09,-log(M),Train,,-,,-,,,,-
C1=CC=C2SC3=CC=CC=C3N(CC4CN(C)CCC4)C2=C1,-,-,128,mepazine,A165,18484495,-,2,-4.74,log(mol/L),4.74,-log(M),Train,,-,,-,,,,-
CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C13,-,-,129,Imipramine,A165,18484495,-,2,-4.19,log(mol/L),4.19,-log(M),Train,,-,,-,,,,-
C1=CC=C2SC3=CC=C(OC)C=C3N(CC(C)CN(C)C)C2=C1,-,-,130,Levomepromazine,A165,18484495,-,2,-4.22,log(mol/L),4.22,-log(M),Train,,-,,-,,,,-
C1C(=O)C=C2CCC3C4CCC(=O)C4(C)CC(=O)C3C2(C)C1,-,-,131,adrenosterone,A165,18484495,-,2,-3.48,log(mol/L),3.48,-log(M),Train,,-,,-,,,,-
C1C(O)CC2=CCC3C4CCC(=O)C4(C)CCC3C2(C)C1,-,-,132,prasterone,A165,18484495,-,2,-4.12,log(mol/L),4.12,-log(M),Train,,-,,-,,,,-
C1C(=O)C=C2CCC3C4CCC(O)C4(C)CCC3C2(C)C1,-,-,133,Testosterone,A165,18484495,-,2,-4.05,log(mol/L),4.05,-log(M),Train,,-,,-,,,,-
C12SC1CC3CCC4C5CCC(O)C5(C)CCC4C3(C)C2,-,-,134,epitiostanol,A165,18484495,-,2,-5.41,log(mol/L),5.41,-log(M),Train,,-,,-,,,,-
C1C(O)CC2CCC3C4CCC(=O)C4(C)CCC3C2(C)C1,-,-,135,androsterone,A165,18484495,-,2,-4.4,log(mol/L),4.4,-log(M),Train,,-,,-,,,,-
C1C(=O)CC2CCC3C4CCC(O)C4(C)CCC3C2(C)C1,-,-,136,Stanolone,A165,18484495,-,2,-4.26,log(mol/L),4.26,-log(M),Train,,-,,-,,,,-
CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C13,-,-,137,Amitriptyline,A165,18484495,-,2,-4.46,log(mol/L),4.46,-log(M),Train,,-,,-,,,,-
CN1CCN(CCCN2C3=CC=CC=C3SC4=CC=C(Cl)C=C24)CC1,-,-,138,prochlorperazine,A165,18484495,-,2,-4.4,log(mol/L),4.4,-log(M),Train,,-,,-,,,,-
C1=CC=C2C(C(C)C3=NC=CC=C3)=C(CCN(C)C)CC2=C1,-,-,139,Dimethindene,A165,18484495,-,2,-3.09,log(mol/L),3.09,-log(M),Train,,-,,-,,,,-
OC(C1N2CC(C(C1)CC2)C=C)C3=C4C(=NC=C3)C=CC(OC)=C4,-,-,140,Quinine,A165,18484495,-,2,-2.81,log(mol/L),2.81,-log(M),Train,,-,,-,,,,-
OC1(C#C)C2(C(C3C(C4=C(C=C(O)C=C4)CC3)CC2)CC1)C,-,-,141,ethinyl estradiol,A165,18484495,-,2,-4.42,log(mol/L),4.42,-log(M),Train,,-,,-,,,,-
CCN(CC)CCOC(=O)C(C1=CC=CC=C1)C2=CC=CC=C2,-,-,142,Adiphenine,A165,18484495,-,2,-2.0,log(mol/L),2.0,-log(M),Train,,-,,-,,,,-
C1=CC=C2N(C)C3C4CC5C(CC)C(O)N4C6C5C(C3(C6)C2=C1)O,-,-,143,ajmaline,A165,18484495,-,2,-2.89,log(mol/L),2.89,-log(M),Train,,-,,-,,,,-
CC12CCC3C(CCC4=CC(=O)CCC34)C1CCC2(O)C#C,-,-,144,Norethindrone,A165,18484495,-,2,-4.63,log(mol/L),4.63,-log(M),Train,,-,,-,,,,-
CCCCOC1=CC(C(NCCN(CC)CC)=O)=C2C=CC=CC2=N1,-,-,145,dibucaine,A165,18484495,-,2,-3.7,log(mol/L),3.7,-log(M),Train,,-,,-,,,,-
