Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles,MolW(Da),NumHAcceptors,NumHDonors,LogP,Lipinski_rule
Ethalfluralin,-5.063,1,333.266,0,1,6,89.51999999999998,-6.124,C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],333.266,5,0,3.9242000000000035,1
"1,2,3,4-Tetrachlorobenzene",-4.546,1,215.894,0,1,0,0.0,-4.57,Clc1ccc(Cl)c(Cl)c1Cl,215.894,0,0,4.3002,1
Meprobamate,-1.376,1,218.25299999999996,2,0,6,104.64,-1.807,CCCC(C)(COC(N)=O)COC(N)=O,218.25299999999996,4,2,0.9834000000000005,1
pregnenolone,-4.342,1,316.48500000000007,1,4,1,37.3,-4.65,CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,316.48500000000007,2,1,4.515300000000004,1
Iodomethane,-1.646,1,141.939,0,0,0,0.0,-1.0,CI,141.939,0,0,1.0512000000000001,1
cycloheximide,-1.5319999999999998,1,281.35200000000003,2,2,3,83.47,-1.13,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,281.35200000000003,4,2,1.0415,1
3-Heptanoyloxymethylphenytoin,-4.496,1,394.471,1,3,9,75.71,-6.301,CCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,394.4710000000001,4,1,3.9531000000000027,1
isophorone,-2.015,1,138.20999999999998,0,1,0,17.07,-1.06,CC1=CC(=O)CC(C)(C)C1,138.20999999999998,1,0,2.3218000000000005,1
Butabarbital,-1.958,1,212.24899999999997,2,1,3,75.27000000000001,-2.39,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,212.249,3,2,0.7948999999999999,1
5-Nonanone,-2.329,1,142.242,0,0,6,17.07,-2.58,CCCCC(=O)CCCC,142.242,1,0,2.935900000000001,1
Glutethimide,-2.591,1,217.268,1,2,2,46.17,-2.3369999999999997,CCC1(c2ccccc2)CCC(=O)NC1=O,217.26799999999992,2,1,1.771,1
3-Methylpentane,-2.6,1,86.178,0,0,2,0.0,-3.68,CCC(C)CC,86.178,0,0,2.442500000000001,1
Etofenprox,-6.896,1,376.496,0,3,9,27.69,-8.6,CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1,376.49600000000004,3,0,6.372000000000006,0
Methaqualone,-3.881,1,250.301,0,3,1,34.89,-2.925,Cc1ccccc1-n1c(C)nc2ccccc2c1=O,250.30100000000002,3,0,3.0025400000000015,1
Chloroacetonitrile,-0.4479999999999999,1,75.498,0,0,0,23.79,-0.092,N#CCCl,75.49799999999999,1,0,0.74878,1
Trichloronate,-5.225,1,333.60400000000004,0,1,5,18.46,-5.752000000000001,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,333.60400000000004,3,0,5.391500000000002,0
Ethisterone,-3.858,1,312.45300000000003,1,4,0,37.3,-5.66,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,312.4530000000001,2,1,3.8826000000000036,1
Pyridazine,-0.619,2,80.08999999999999,0,1,0,25.78,1.1,c1ccnnc1,80.08999999999999,2,0,0.4765999999999999,1
"1,2,3,5-Tetrachlorobenzene",-4.621,1,215.894,0,1,0,0.0,-4.63,Clc1cc(Cl)c(Cl)c(Cl)c1,215.894,0,0,4.3002,1
Diosgenin,-5.681,1,414.63000000000017,1,6,0,38.69,-7.32,CC1COC2CC3(C)C(CC4C5C=C6CC(O)CCC6(C)CC5CCC43C)OC2C1,414.6300000000003,3,1,5.508800000000006,0
o-Aminophenol,-1.465,1,109.128,2,1,0,46.25,-0.72,Nc1ccccc1O,109.12799999999999,2,2,0.9743999999999999,1
Ethyl nonanoate,-3.3160000000000003,1,186.295,0,0,8,26.3,-3.8,CCCCCCCCC(=O)OCC,186.295,2,0,3.3001000000000023,1
metalaxyl,-2.87,1,279.336,0,1,5,55.84,-1.601,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,279.336,4,0,1.8443400000000003,1
Propoxur,-2.4090000000000003,1,209.245,1,1,3,47.56,-2.05,CNC(=O)Oc1ccccc1OC(C)C,209.24499999999998,3,1,2.192,1
2-Chlorobutane,-1.94,1,92.569,0,0,1,0.0,-1.96,CCC(C)Cl,92.569,0,0,2.0237,1
2-Napthol,-3.08,1,144.17299999999997,1,2,0,20.23,-2.28,Oc1ccc2ccccc2c1,144.17299999999997,1,1,2.5454,1
Oxadiazon,-5.265,1,345.22600000000017,0,2,3,57.26,-5.696000000000001,CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,345.226,5,0,4.217000000000004,1
1-Hexyne ,-1.801,1,82.14599999999999,0,0,2,0.0,-2.36,C#CCCCC,82.146,0,0,1.8098,1
1-Nonyne ,-2.864,1,124.227,0,0,5,0.0,-4.24,C#CCCCCCCC,124.227,0,0,2.980100000000001,1
2-Chlorotoluene,-3.2969999999999997,1,126.586,0,1,0,0.0,-3.52,Cc1ccccc1Cl,126.586,0,0,2.6484200000000007,1
Diisopropyl ether ,-1.281,1,102.177,0,0,2,9.23,-1.1,CC(C)OC(C)C,102.17699999999999,1,0,1.8197999999999999,1
Dapsone,-2.464,1,248.307,2,2,2,86.18,-3.094,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,248.30700000000002,4,2,1.6838000000000002,1
Methyl hydrazine,0.5429999999999999,1,46.073,2,0,0,38.05,1.34,CNN,46.073,2,2,-0.9205000000000001,1
Propyne,-0.672,1,40.065000000000005,0,0,0,0.0,-0.41,C#CC,40.065,0,0,0.6395,1
Phoxim,-4.5569999999999995,1,298.304,0,1,7,63.84,-4.862,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,298.304,6,0,3.2283800000000014,1
Propetamphos,-2.826,1,281.314,1,0,7,56.790000000000006,-3.408,CCNP(=S)(OC)OC(C)=CC(=O)OC(C)C,281.314,5,1,2.3388,1
Acrolein,-0.184,1,56.064,0,0,1,17.07,0.57,C=CC=O,56.064,1,0,0.37129999999999996,1
Hypoxanthine,-0.6559999999999999,1,136.114,2,2,0,74.43,-2.296,O=c1[nH]cnc2nc[nH]c12,136.114,3,2,-0.35380000000000006,1
6-hydroxyquinoline,-2.725,1,145.161,1,2,0,33.120000000000005,-2.16,Oc1ccc2ncccc2c1,145.161,2,1,1.9403999999999997,1
Fluorobenzene,-2.514,1,96.10399999999998,0,1,0,0.0,-1.8,Fc1ccccc1,96.10399999999998,0,0,1.8256999999999999,1
1-Chloropropane,-1.585,1,78.542,0,0,1,0.0,-1.47,CCCCl,78.542,0,0,1.6352,1
Ethyl acetate,-0.77,1,88.106,0,0,1,26.3,-0.04,CCOC(C)=O,88.106,2,0,0.5694,1
"2,2-Dimethylpentane",-2.938,1,100.20499999999998,0,0,1,0.0,-4.36,CCCC(C)(C)C,100.20499999999998,0,0,2.832600000000001,1
Pentamethylbenzene,-3.993,1,148.249,0,1,0,0.0,-4.0,Cc1cc(C)c(C)c(C)c1C,148.249,0,0,3.2287000000000017,1
eucalyptol,-2.5789999999999997,1,154.253,0,3,0,9.23,-1.64,CC12CCC(CC1)C(C)(C)O2,154.253,1,0,2.7441000000000013,1
dibutyl sebacate,-4.726,1,314.46600000000007,0,0,15,52.60000000000001,-3.896,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,314.46600000000007,4,0,4.7938000000000045,1
"4,4'-PCB",-5.2989999999999995,1,223.102,0,2,1,0.0,-6.56,Clc1ccc(-c2ccc(Cl)cc2)cc1,223.102,0,0,4.660400000000002,1
"2,3-Dimethylpyridine",-2.0669999999999997,1,107.156,0,1,0,12.89,0.38,Cc1cccnc1C,107.156,1,0,1.69844,1
Carvone,-2.042,1,150.22099999999998,0,1,1,17.07,-2.06,C=C(C)C1CC=C(C)C(=O)C1,150.22099999999998,1,0,2.4879000000000007,1
Carbophenthion,-5.827999999999999,1,342.875,0,1,8,18.46,-5.736000000000001,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,342.875,5,0,5.420300000000004,0
"Etoposide (148-167,25mg/ml)",-3.292,1,588.5620000000001,3,7,5,160.83,-3.571,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,588.5620000000004,13,3,1.3385999999999993,0
Perylene,-6.007000000000001,2,252.31599999999997,0,5,0,0.0,-8.804,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,252.31599999999997,0,0,5.737200000000003,0
"2,4-Dinitrotoluene",-2.6039999999999996,1,182.135,0,1,2,86.28,-2.82,Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],182.135,4,0,1.81142,1
2-bromonaphthalene,-4.434,1,207.07,0,2,0,0.0,-4.4,Brc1ccc2ccccc2c1,207.07,0,0,3.6023000000000014,1
Formetanate,-1.846,1,221.26,1,1,3,53.93,-2.34,CNC(=O)Oc1cccc(N=CN(C)C)c1,221.26,3,1,1.6262,1
6-methoxypteridine,-1.589,1,162.15200000000002,0,2,1,60.790000000000006,-1.139,COc1cnc2ncncc2n1,162.15200000000002,5,0,0.42839999999999984,1
nevirapine,-3.397,1,266.30400000000003,1,4,1,58.120000000000005,-3.19,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,266.30400000000003,4,1,2.6512200000000004,1
Isazofos,-3.76,1,313.747,0,1,7,58.4,-3.658,CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1,313.747,7,0,3.1887000000000016,1
"2-Methyl-1,3-Butadiene ",-1.714,1,68.11900000000001,0,0,1,0.0,-2.03,C=CC(=C)C,68.119,0,0,1.7485,1
linalool,-2.399,1,154.253,1,0,4,20.23,-1.99,C=CC(C)(O)CCC=C(C)C,154.253,1,1,2.6698000000000013,1
Fenthion,-4.265,1,278.335,0,1,5,27.69,-4.57,COP(=S)(OC)Oc1ccc(SC)c(C)c1,278.335,5,0,3.6130200000000023,1
Cyclohexanol ,-1.261,1,100.161,1,1,0,20.23,-0.44,OC1CCCCC1,100.161,1,1,1.3114,1
5-Allyl-5-methylbarbital,-1.013,1,182.17899999999997,2,1,2,75.27000000000001,-1.16,C=CCC1(C)C(=O)NC(=O)NC1=O,182.17899999999997,3,2,-0.06520000000000004,1
Epiandrosterone,-3.882,1,290.447,1,4,0,37.3,-4.16,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,290.447,2,1,3.959100000000003,1
mannitol,0.647,1,182.172,6,0,5,121.38,0.06,OCC(O)C(O)C(O)C(O)CO,182.172,6,6,-3.5854000000000004,0
4-Methylbiphenyl,-4.4239999999999995,1,168.239,0,2,1,0.0,-4.62,Cc1ccc(-c2ccccc2)cc1,168.239,0,0,3.662020000000002,1
Atrazine,-3.069,1,215.688,2,1,4,62.73,-3.85,CCNc1nc(Cl)nc(NC(C)C)n1,215.68800000000002,5,2,1.7770999999999997,1
Phenylthiourea,-1.7009999999999998,1,152.22199999999998,2,1,1,38.05,-1.77,NC(=S)Nc1ccccc1,152.22199999999998,1,2,1.3421,1
4-Heptanone,-1.62,1,114.188,0,0,4,17.07,-1.3,CCCC(=O)CCC,114.18799999999999,1,0,2.1557000000000004,1
"3,3-Dimethyl-2-butanone",-1.25,1,100.161,0,0,0,17.07,-0.72,CC(=O)C(C)(C)C,100.16099999999999,1,0,1.6215,1
4-Chlorophenol ,-2.761,1,128.558,1,1,0,20.23,-0.7,Oc1ccc(Cl)cc1,128.558,1,1,2.0456,1
Cyclohexanone,-0.996,1,98.145,0,1,0,17.07,-0.6,O=C1CCCCC1,98.14500000000001,1,0,1.5196,1
m-Methylaniline,-1.954,1,107.156,1,1,0,26.02,-0.85,Cc1cccc(N)c1,107.156,1,1,1.5772199999999998,1
Trichloroacetonitrile,-2.019,1,144.388,0,0,0,23.79,-2.168,N#CC(Cl)(Cl)Cl,144.388,1,0,1.88018,1
norflurazon,-4.029,1,303.67100000000005,1,2,2,46.92,-4.046,CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl,303.67100000000005,4,1,2.9464000000000006,1
2-Decanone,-2.617,1,156.269,0,0,7,17.07,-3.3,CCCCCCCCC(C)=O,156.269,1,0,3.3260000000000023,1
Ipazine,-3.497,1,243.742,1,1,5,53.940000000000005,-3.785,CCN(CC)c1nc(Cl)nc(NC(C)C)n1,243.74200000000002,5,1,2.1914999999999996,1
Benzocaine,-2.383,1,165.19199999999998,1,1,2,52.32,-2.616,CCOC(=O)c1ccc(N)cc1,165.19199999999998,3,1,1.4455,1
"1,2,4-Trichlorobenzene",-4.083,1,181.449,0,1,0,0.0,-3.59,Clc1ccc(Cl)c(Cl)c1,181.449,0,0,3.6468000000000007,1
Triazolam,-3.948,1,343.2170000000001,0,4,1,43.07,-4.09,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,343.21700000000004,4,0,4.233520000000002,1
"1,2-Benzenediol",-1.635,1,110.11199999999998,2,1,0,40.46,0.62,Oc1ccccc1O,110.11199999999998,2,2,1.0977999999999999,1
Reverse Transcriptase inhibitor 1,-2.7939999999999996,1,254.293,0,3,1,49.330000000000005,-2.62,CCN1c2ncccc2C(=O)N(C)c2cccnc21,254.29299999999998,4,0,2.2245999999999997,1
Dimethyl sulfide,-0.758,1,62.137,0,0,0,0.0,-0.45,CSC,62.137,1,0,0.9792,1
2-Bromotoluene,-3.667,1,171.03699999999998,0,1,0,0.0,-2.23,Cc1ccccc1Br,171.03699999999998,0,0,2.7575200000000013,1
O-Ethyl carbamate,-0.218,1,89.09400000000001,1,0,1,52.32,0.85,CCOC(N)=O,89.09400000000001,2,1,0.10160000000000025,1
megestrol acetate,-4.417,1,384.5160000000002,0,4,2,60.440000000000005,-5.35,CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,384.51600000000025,4,0,4.575300000000005,1
"2,4-Dimethyl-3-pentanol",-1.6469999999999998,1,116.20399999999998,1,0,2,20.23,-1.22,CC(C)C(O)C(C)C,116.20399999999998,1,1,1.6593,1
Napthalene,-3.468,2,128.17399999999995,0,2,0,0.0,-3.6,c1ccc2ccccc2c1,128.17399999999995,0,0,2.839800000000001,1
N-Ethylaniline,-2.389,1,121.18299999999996,1,1,2,12.03,-1.7,CCNc1ccccc1,121.18299999999995,1,1,2.1184,1
Phenytoin,-3.057,1,252.273,2,3,2,58.2,-4.0969999999999995,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,252.27300000000002,2,2,1.7696,1
"7,12-Dimethylbenz(a)anthracene",-6.297000000000001,1,256.348,0,4,0,0.0,-7.02,Cc1c2ccccc2c(C)c2c1ccc1ccccc12,256.348,0,0,5.763040000000005,0
Dialifor,-5.026,1,393.85400000000016,0,2,8,55.84,-6.34,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,393.85400000000016,6,0,3.878200000000003,1
Methoxychlor,-5.537999999999999,1,345.6529999999999,0,2,4,18.46,-6.89,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,345.653,2,0,5.205900000000003,0
TEFLUBENZURON,-5.462000000000001,1,381.1120000000001,2,2,2,58.2,-7.28,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(F)c(Cl)c1F,381.1120000000001,2,2,4.5117,1
3-Pentanoyloxymethylphenytoin,-3.81,1,366.417,1,3,7,75.71,-4.678,CCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,366.4170000000001,4,1,3.172900000000002,1
Monuron,-2.6710000000000003,1,198.653,1,1,1,32.34,-2.89,CN(C)C(=O)Nc1ccc(Cl)cc1,198.653,1,1,2.4335000000000004,1
Flutriafol,-3.569,1,301.296,1,3,4,50.94,-3.37,OC(Cn1cncn1)(c1ccc(F)cc1)c1ccccc1F,301.296,4,1,2.492400000000001,1
triamcinolone diacetate,-3.876,1,478.51300000000026,2,4,4,127.20000000000002,-4.13,CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,478.5130000000003,8,2,1.7620999999999991,1
1-Bromobutane,-2.303,1,137.01999999999998,0,0,2,0.0,-2.37,CCCCBr,137.01999999999998,0,0,2.1814,1
"1,2,4,5-Tetrabromobenzene",-6.001,1,393.698,0,1,0,0.0,-6.98,Brc1cc(Br)c(Br)cc1Br,393.69800000000004,0,0,4.7366,1
4-Methyl-2-pentanone,-1.1840000000000002,1,100.161,0,0,2,17.07,-0.74,CC(=O)CC(C)C,100.16099999999999,1,0,1.6215,1
cycloate,-3.35,1,215.3619999999999,0,1,3,20.31,-3.4,CCSC(=O)N(CC)C1CCCCC1,215.36199999999994,2,0,3.5141000000000027,1
4-Chloroanisole,-3.057,1,142.585,0,1,1,9.23,-2.78,COc1ccc(Cl)cc1,142.585,1,0,2.3486000000000002,1
Deltamethrin,-7.44,1,505.20600000000024,0,3,6,59.32000000000001,-8.402000000000001,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,505.20600000000024,4,0,6.490180000000005,0
Talbutal,-2.06,1,224.26,2,1,4,75.27000000000001,-2.016,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,224.26,3,2,0.9609999999999999,1
Fenitrothion,-3.845,1,277.238,0,1,5,70.83000000000001,-4.04,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,277.238,6,0,2.7993200000000007,1
1-Iodonapthalene,-4.888999999999999,1,254.07,0,2,0,0.0,-4.55,Ic1cccc2ccccc12,254.07000000000002,0,0,3.4444000000000017,1
Sorbitol,0.647,1,182.172,6,0,5,121.38,1.09,OCC(O)C(O)C(O)C(O)CO,182.172,6,6,-3.5854000000000004,0
Ethanethiol,-0.968,1,62.137,1,0,0,0.0,-0.6,CCS,62.137,1,1,0.9360999999999999,1
"1,1,2-Trichloroethane",-1.961,1,133.405,0,0,1,0.0,-1.48,ClCC(Cl)Cl,133.405,0,0,2.0289,1
Pyrolan,-3.141,1,245.282,0,2,2,47.36000000000001,-2.09,Cc1cc(OC(=O)N(C)C)n(-c2ccccc2)n1,245.28200000000004,4,0,2.2411199999999996,1
o-Hydroxybenzamide,-1.942,1,137.13799999999998,2,1,1,63.32000000000001,-1.82,NC(=O)c1ccccc1O,137.13799999999998,2,2,0.49110000000000004,1
o-Nitrotoluene,-2.589,1,137.138,0,1,1,43.14,-2.33,Cc1ccccc1[N+](=O)[O-],137.138,2,0,1.9032200000000001,1
"5,5-Diisopropylbarbital",-1.942,1,212.249,2,1,2,75.27000000000001,-2.766,CC(C)C1(C(C)C)C(=O)NC(=O)NC1=O,212.24899999999997,3,2,0.6507999999999999,1
2-Ethyltoluene,-3.2960000000000003,1,120.19499999999996,0,1,1,0.0,-3.21,CCc1ccccc1C,120.19499999999996,0,0,2.5574200000000005,1
1-Chloroheptane,-3.003,1,134.65,0,0,5,0.0,-4.0,CCCCCCCCl,134.65,0,0,3.1956000000000016,1
Barbital,-1.265,1,184.19499999999996,2,1,2,75.27000000000001,-2.4,CCC1(CC)C(=O)NC(=O)NC1=O,184.195,3,2,0.15879999999999994,1
Bibenzyl ,-4.301,2,182.266,0,2,3,0.0,-4.62,c1ccc(CCc2ccccc2)cc1,182.26600000000002,0,0,3.4718000000000018,1
"1,1,2,2-Tetrachloroethane",-2.549,1,167.85,0,0,1,0.0,-1.74,ClC(Cl)C(Cl)Cl,167.85,0,0,2.5938,1
RTI 23,-4.228,1,283.331,1,3,2,54.46,-5.153,CCN1c2cc(OC)cc(C)c2NC(=O)c2cccnc21,283.331,4,1,3.122320000000001,1
2-Methylphenanthrene,-4.87,1,192.261,0,3,0,0.0,-5.84,Cc1ccc2c(ccc3ccccc32)c1,192.261,0,0,4.301420000000003,1
dibutylphthalate,-4.378,1,278.348,0,1,8,52.60000000000001,-4.4,CCCCOC(=O)c1ccccc1C(=O)OCCCC,278.348,4,0,3.600400000000003,1
tetrachloroguaiacol,-4.2989999999999995,1,261.919,1,1,1,29.46,-4.02,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,261.919,2,1,4.014400000000001,1
Dimecron,-2.426,1,299.6909999999999,0,0,8,65.07000000000001,0.523,CCN(CC)C(=O)C(Cl)=CCOP(=O)(OC)OC,299.69100000000003,5,0,2.3950000000000005,1
Equilin,-3.555,1,268.356,1,4,0,37.3,-5.282,CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2=O,268.356,2,1,3.7375000000000025,1
Chlorimuron-ethyl (ph 7),-3.719,1,414.82700000000017,1,2,8,127.79,-4.5760000000000005,CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c1nc(Cl)cc(OC)n1,414.82700000000017,8,1,1.1715999999999998,1
p-Nitroanisole,-2.522,1,153.13699999999997,0,1,2,52.37,-2.41,COc1ccc([N+](=O)[O-])cc1,153.137,3,0,1.6033999999999997,1
1-Chlorohexane,-2.648,1,120.623,0,0,4,0.0,-3.12,CCCCCCCl,120.623,0,0,2.805500000000001,1
"2,2',3,3',4,4',5,5'-PCB",-8.468,1,429.77200000000016,0,2,1,0.0,-9.16,Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,429.77200000000016,0,0,8.580799999999998,0
Raffinose,0.496,1,504.4380000000001,11,3,8,268.67999999999995,-0.41,OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,504.43800000000005,16,11,-7.571399999999989,0
hexacosane,-9.702,1,366.7180000000002,0,0,23,0.0,-8.334,CCCCCCCCCCCCCCCCCCCCCCCCCC,366.7180000000002,0,0,10.388599999999993,0
RTI 5,-3.471,1,253.30499999999995,0,3,1,36.44,-3.324,CCN1c2ccccc2N(C)C(=O)c2cccnc21,253.30499999999995,3,0,2.829600000000001,1
"1,1-Dichloroethane",-1.5759999999999998,1,98.96,0,0,0,0.0,-1.29,CC(Cl)Cl,98.96000000000001,0,0,1.81,1
Sulfanilamide,-0.954,1,172.20899999999995,2,1,1,86.18,-1.34,Nc1ccc(S(N)(=O)=O)cc1,172.20900000000003,3,2,-0.08380000000000004,1
Isopropalin,-5.306,1,309.36600000000004,0,1,8,89.51999999999998,-6.49,CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-],309.36600000000004,5,0,4.252800000000004,1
Lindane,-4.0089999999999995,1,290.832,0,1,0,0.0,-4.64,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,290.832,0,0,3.644400000000001,1
Isofenphos,-4.538,1,345.4010000000002,1,1,8,56.790000000000006,-4.194,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,345.4010000000002,5,1,3.8896000000000033,1
"1,2,3-Trichlorobenzene",-4.008,1,181.449,0,1,0,0.0,-4.0,Clc1cccc(Cl)c1Cl,181.44899999999998,0,0,3.6468000000000007,1
Tetrachloromethane,-2.607,1,153.823,0,0,0,0.0,-2.31,ClC(Cl)(Cl)Cl,153.823,0,0,2.5529,1
"3,4-Dichloronitrobenzene",-3.448,1,192.001,0,1,1,43.14,-3.2,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,192.00099999999998,2,0,2.901600000000001,1
Cyclooctanol,-2.14,1,128.215,1,1,0,20.23,-1.29,OC1CCCCCCC1,128.215,1,1,2.0915999999999997,1
17a-Methyltestosterone,-4.073,1,302.4580000000001,1,4,0,37.3,-3.999,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,302.458,2,1,4.269300000000005,1
Dulcin,-2.167,1,180.20699999999997,2,1,3,64.35,-2.17,CCOc1ccc(NC(N)=O)cc1,180.20699999999997,2,2,1.5758999999999999,1
"trans-1,4-Dimethylcyclohexane",-3.305,1,112.216,0,1,0,0.0,-4.47,CC1CCC(C)CC1,112.216,0,0,2.832600000000001,1
"1,7-phenantroline",-2.994,2,180.21,0,3,0,25.78,-2.68,c1cnc2c(c1)ccc1ncccc12,180.20999999999998,2,0,2.7830000000000004,1
Methyl t-butyl ether ,-0.984,1,88.14999999999999,0,0,0,9.23,-0.24,COC(C)(C)C,88.14999999999999,1,0,1.4313,1
Anethole,-3.2539999999999996,1,148.20499999999998,0,1,2,9.23,-3.13,CC=Cc1ccc(OC)cc1,148.20499999999998,1,0,2.728300000000001,1
1-Hexadecanol,-4.94,1,242.44699999999992,1,0,14,20.23,-7.0,CCCCCCCCCCCCCCCCO,242.44699999999992,1,1,5.460000000000006,0
uracil,-0.441,1,112.088,2,1,0,65.72,-1.4880000000000002,O=c1cc[nH]c(=O)[nH]1,112.088,2,2,-0.9368000000000001,1
adenine,-1.255,1,135.13,2,2,0,80.47999999999999,-2.12,Nc1ncnc2nc[nH]c12,135.13,4,2,-0.0648999999999999,1
"2,2',3,4,5-PCB",-6.709,1,326.437,0,2,1,0.0,-7.21,Clc1cc(Cl)c(-c2cccc(Cl)c2Cl)cc1Cl,326.437,0,0,6.620600000000001,0
Ancymidol,-2.181,1,256.30499999999995,1,3,4,55.24,-2.596,COc1ccc(C(O)(c2cncnc2)C2CC2)cc1,256.305,4,1,2.1311,1
Benzo(b)fluoranthene,-6.007000000000001,2,252.31599999999997,0,5,0,0.0,-8.23,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,252.31599999999997,0,0,5.640400000000003,0
Carbanilide,-3.611,1,212.252,2,2,2,41.13,-3.15,O=C(Nc1ccccc1)Nc1ccccc1,212.25199999999998,1,2,3.3306000000000013,1
phenobarbital,-2.272,1,232.239,2,2,2,75.27000000000001,-2.322,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,232.23899999999995,3,2,0.7004,1
"2',3,4-PCB",-5.686,1,257.547,0,2,1,0.0,-6.29,Clc1ccc(-c2cccc(Cl)c2Cl)cc1,257.54699999999997,0,0,5.313800000000001,0
Isoproturon,-2.867,1,206.289,1,1,2,32.34,-3.536,CC(C)c1ccc(NC(=O)N(C)C)cc1,206.289,1,1,2.903500000000001,1
Azintamide,-2.231,1,259.762,0,1,5,46.09,-1.716,CCN(CC)C(=O)CSc1ccc(Cl)nn1,259.762,4,0,2.0904999999999996,1
"2,2-Dimethyl-1-butanol",-1.365,1,102.17699999999998,1,0,2,20.23,-1.04,CCC(C)(C)CO,102.17699999999998,1,1,1.4149,1
Ethyl pentanoate,-1.899,1,130.18699999999998,0,0,4,26.3,-1.75,CCCOC(=O)CCC,130.18699999999998,2,0,1.7397,1
"2,4,6-Trinitrotoluene",-2.6060000000000003,1,227.132,0,1,3,129.42000000000002,-3.22,Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],227.13199999999998,6,0,1.7196200000000001,1
Bensulide,-4.99,1,397.52400000000006,1,1,10,64.63,-4.2,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,397.52400000000006,6,1,3.7726000000000024,1
Cycloheptane,-2.9160000000000004,2,98.189,0,1,0,0.0,-3.51,C1CCCCCC1,98.18900000000001,0,0,2.7307000000000015,1
Propyl formate,-0.757,1,88.10599999999998,0,0,3,26.3,-0.49,CCCOC=O,88.10599999999998,2,0,0.5694,1
2-Isopropyltoluene,-3.585,1,134.22199999999995,0,1,1,0.0,-3.76,Cc1ccccc1C(C)C,134.22199999999998,0,0,3.118420000000002,1
m-Chloroaniline,-2.392,1,127.574,1,1,0,26.02,-1.37,Nc1cccc(Cl)c1,127.574,1,1,1.9222,1
